mx,mc,hx,hc,loocv_rmse,design,hc_min
2,1,2.81405,2.05166,0.00262972,Llama 3,0.601986
2,1.3,2.81405,2.66716,0.00283543,Llama 3,0.601986
2,1.6,2.81405,3.28265,0.00300024,Llama 3,0.601986
2,2,2.81405,4.10332,0.00314713,Llama 3,0.601986
2,3,2.81405,6.15497,0.00332284,Llama 3,0.601986
3,0.3,4.22107,0.615497,0.00218901,Llama 3,0.601986
3,0.45,4.22107,0.923246,0.00228203,Llama 3,0.601986
3,0.6,4.22107,1.23099,0.00241672,Llama 3,0.601986
3,0.8,4.22107,1.64133,0.00254765,Llama 3,0.601986
3,1,4.22107,2.05166,0.0026908,Llama 3,0.601986
3,1.3,4.22107,2.66716,0.00291565,Llama 3,0.601986
3,1.6,4.22107,3.28265,0.00309297,Llama 3,0.601986
3,2,4.22107,4.10332,0.00325235,Llama 3,0.601986
3,3,4.22107,6.15497,0.00344557,Llama 3,0.601986
