uid,tech,N_used,M_tech,w,w_lo,w_hi,sd_lnw,TD,TD_lo,TD_hi,T,CE,CE_lo,CE_hi,M_extrap,C_extrap,N_extrap
A:Cerebras-GPT-13B,chin,13000000000.0,19.776923076923076,1.0018598774884173,0.8510643900838053,1.233087624305877,0.09997045225960005,0.005579632465251949,-0.4468068297485841,0.6992628729176311,1434523506.816276,0.9999975838068577,0.9661793650424022,0.9999887764858034,False,True,False
A:BloombergGPT,chin,50558868480.0,11.254207562518614,0.8368020407840527,0.6811769858870185,1.0958075386756163,0.1288110184245848,-0.4895938776478418,-0.9564690423389446,0.28742261602684893,-278578916381.622,0.9780232895776279,0.9009108135814686,0.9998695902608585,False,True,True
A:CPM-Bee,chin,10000000000.0,14.0066666667,0.8780770606574265,0.7621110710399801,1.0496563665579255,0.08678000443858262,-0.36576881802772043,-0.7136667868800597,0.14896909967377647,-51232019111.8713,0.9882333090549135,0.9492022449270214,0.9999217161391777,False,False,False
A:LightOn Mini,chin,40000000000.0,25.0,1.1165372253267007,0.8969409676969797,1.4881609674568108,0.135917709136793,0.34961167598010223,-0.3091770969090608,1.4644829023704324,349611675980.10223,0.9915454710366897,0.900265012886849,0.9999493359720732,False,True,True
A:Palmyra Large 20B,chin,20000000000.0,40.0,1.3087039089398902,1.0662371759725686,1.7150651955316416,0.12462733806922834,0.9261117268196706,0.19871152791770585,2.145195586594925,740889381455.7365,0.9508721152100829,0.8293177620684684,0.9970409390741805,False,True,True
A:gpt-sw3-40b,chin,40000000000.0,8.0,0.7348148431527197,0.61089584063731,0.9319867748305752,0.11656442946816568,-0.7955554705418408,-1.1673124780880701,-0.2040396755082743,-254577750573.38907,0.9357819913360632,0.8420397152376884,0.9962543651661625,False,True,True
A:CodeGen-Mono 16.1B,chin,16100000000.0,18.61527950310559,0.9840091912444368,0.8293140115549774,1.2246731068842285,0.1049708373817624,-0.04797242626668974,-0.5120579653350678,0.6740193206526854,-14377623986.684515,0.999818142537404,0.9654369432990194,0.9999941630501594,False,True,False
A:Hyena-2 355M,chin,355000000.0,42.25352112676056,1.2325565831441214,1.1821317164771263,1.2737445838428099,0.019458347862090178,0.6976697494323643,0.546395149431379,0.8212337515284296,10465046241.485464,0.9699795526972856,0.9615383916247883,0.980188384755291,False,False,False
A:Hyena-2 153M,chin,153000000.0,98.03921568627452,1.6510555154771285,1.583512378344759,1.725433590706918,0.021855805982618402,1.9531665464313854,1.7505371350342773,2.1763007721207543,29297498196.470783,0.840854197941419,0.8224322433111281,0.8642335195664809,False,False,False
A:Hybrid H3-1.3B,chin,1300000000.0,307.6923076923077,2.6217974547576075,2.248363276423015,3.241420441499663,0.08764794699939872,4.8653923642728225,3.745089829269045,6.724261324498988,1946156945709.129,0.5373180122078032,0.4378984364964467,0.6265846076681939,False,False,False
A:ALM 1.0,chin,335000000.0,67.7509623880597,1.4641862363168388,1.3968755779466362,1.5358377865819883,0.02498191477367027,1.3925587089505163,1.1906267338399086,1.607513359745965,31606309558.94592,0.9041309347341997,0.8863917922577321,0.9240860213328655,False,False,False
A:Verbatim Memory Transformer (117M),chin,117000000.0,91.16809117094017,1.5990454287005278,1.5222953212599135,1.6702782751456775,0.023189088871795247,1.7971362861015834,1.5668859637797405,2.0108348254370325,19169453719.015934,0.8588602616059821,0.8377141543020472,0.887303107023767,False,False,False
A:CPM-Ant,chin,10000000000.0,3.34,0.5187228278132328,0.4632782319952747,0.5939318579801336,0.06600733325786591,-1.4438315165603017,-1.6101653040141761,-1.2182044260595992,-48223972653.114075,0.7422908801126857,0.6701371287283708,0.8255621055298431,False,False,False
A:NeMO Megatron GPT 20B,chin,20000000000.0,17.05866839825,0.9570737928034941,0.8006634513588723,1.20100984631125,0.10960717943373602,-0.12877862158951758,-0.5980096459233831,0.6030295389337499,-43935836049.585976,0.9986533421629274,0.9607644605411835,0.9999834831055207,False,True,True
A:Luminous-supreme,chin,70000000000.0,15.275714285714285,0.9422108475783223,0.7483173313178074,1.2772647555977796,0.1432382915445182,-0.1733674572650331,-0.7550480060465777,0.8317942667933389,-185381822053.4999,0.9975223989475824,0.9313962262871641,0.9999640012062223,False,True,True
A:Luminous-extended,chin,30000000000.0,15.333333333333334,0.9277686949697036,0.7655035096942643,1.1882165025985214,0.11926155783244412,-0.2166939150908892,-0.7034894709172071,0.5646495077955642,-99679200941.80904,0.9960723595896771,0.9487556341328811,0.9999934555531919,False,True,True
A:Luminous-base,chin,13000000000.0,30.923076923076923,1.1805488354226903,0.9866903778092232,1.478009842717954,0.10779553110956937,0.5416465062680709,-0.03992886657233041,1.434029528153862,217741895519.7645,0.9809561777101634,0.9024465111123061,0.9998718319996946,False,True,False
A:GLM-130B,chin,130000000000.0,3.076923076923077,0.5296367846941848,0.42560708171381234,0.6970786522083455,0.13455318834826954,-1.4110896459174453,-1.723178754858563,-0.9087640433749634,-564435858366.9781,0.7560422214794034,0.6127661296829762,0.9113598021786801,False,True,True
A:BLOOM-1.7B,chin,1700000000.0,208.23529411764707,2.2837815591243222,1.968943287082431,2.8120356360291567,0.087039187320421,3.8513446773729667,2.906829861247293,5.436106908087471,1363376015790.0303,0.6307153558087233,0.5237015618648929,0.7225180540276264,False,False,False
A:GPT-SW3,chin,3500000000.0,29.057142857142857,1.1241921188126183,1.0018308203427142,1.2910220847600558,0.06980718306384281,0.3725763564378548,0.005492461028142603,0.8730662542801673,37891015449.729836,0.9904712894605209,0.9559208048913157,0.9998976328318795,False,False,False
A:YaLM,chin,100000000000.0,3.0,0.5220087742422046,0.424630705776964,0.6754767200742086,0.12685528575574762,-1.4339736772733862,-1.7261078826691079,-0.9735698397773743,-430192103182.01587,0.7464786034998223,0.61091143938771,0.8974163818865406,False,True,True
A:CodeGeeX,chin,13000000000.0,65.38461538461539,1.5541245305684193,1.2696128328373883,2.0429377929964345,0.1214305268938622,1.6623735917052578,0.808838498512165,3.1288133789893036,1413017552949.469,0.8742277403973744,0.7302062742450864,0.959809445421775,False,True,False
A:BIG-G 137B,chin,137000000000.0,4.972262773722628,0.6323580032846224,0.5042551876984662,0.8468926387399146,0.14356649111138745,-1.1029259901461326,-1.4872344369046013,-0.4593220837802562,-751313184487.5455,0.8638708422134097,0.7214693620774478,0.981108180332181,False,True,True
A:GPT-2 Medium (FlashAttention),chin,355000000.0,28.535211267605632,1.0671135714198838,1.0256402824736703,1.095579807203936,0.016769216526509156,0.2013407142596515,0.07692084742101102,0.286739421611808,2039581435.4502697,0.9970538328952963,0.9943908547330176,0.9995555577566978,False,False,False
A:OPT-175B,chin,175000000000.0,1.71432,0.42980486428535386,0.3449610357221991,0.5676335283013021,0.13405721531241951,-1.7105854071439386,-1.9651168928334029,-1.2970994150960937,-513185885655.62445,0.6135352840419793,0.4757518646329021,0.795255481300239,False,True,True
A:Sparse all-MLP,chin,9410000000.0,10.626992561105208,0.7924559498008081,0.6936471066026851,0.936300911971804,0.08062707091395595,-0.6226321505975756,-0.9190586801919446,-0.19109726408458805,-62263215059.75756,0.9628441040350295,0.9115611252720094,0.9969197152746344,False,False,False
A:PaLM (540B),chin,540350000000.0,1.4435088368649949,0.41264710564209206,0.31659258935761514,0.5775845130956221,0.16279446953646304,-1.762058683073724,-2.0502222319271546,-1.2672464607131337,-1374405772797.5046,0.5853778363960906,0.4206885302510231,0.8098441251793762,False,True,True
A:NoPos,chin,1300000000.0,1.9384615384615385,0.407922491982409,0.372040941521591,0.4275276793122697,0.035754279498501934,-1.7762325240527732,-1.8838771754352268,-1.7174169620631907,-4476105960.612988,0.5774487763497816,0.5331748827122753,0.598377222827818,False,False,False
A:Chinchilla,chin,70000000000.0,20.0,1.040202103332785,0.8209332016383506,1.4215676093867877,0.14791470290255557,0.1206063099983552,-0.5372003950849482,1.2647028281603632,168848833997.69727,0.9989138767477901,0.9204395423489471,0.9999616592024048,False,True,True
