uid,w_eq3,Mstar_eq3_ownC
A:RWKV-6 (Finch) 3B,,
A:Telechat2-115B,,
A:Qwen2.5-Coder (7B),,
A:Qwen2.5-Coder (1.5B),,
A:GLA Transformer 1.3B,,
A:GLA Transformer 340M,,
A:Falcon Mamba,,
A:EXAONE 3.0,,
A:AFM-on-device,,
A:Nemotron-4 340B,,
A:PLaMo-100B,,
A:Mamba2-Hybrid,,
A:Samba 3.8B,,
A:MiniCPM-1.2B,,
"A:Mamba 2, 2.7B",,
A:Granite 20B,,
A:ALLaM 34B,,
A:Yi-Large,,
A:Fugaku-LLM,,
A:OpenELM-1.1B,,
A:OpenELM-3B,,
A:OpenELM-450M,,
A:OpenELM-270M,,
A:Arctic,,
A:HGRN2 3B,,
A:HGRN2 1B,,
A:Viking,,
A:DBRX,,
A:Aramco Metabrain AI,,
A:StarCoder 2 15B,,
A:StarCoder 2 7B,,
A:StarCoder 2 3B,,
A:Griffin,,
A:Hawk,,
A:Nemotron-4 15B,,
A:DeciCoder-6B,,
A:InternLM2-20B,,
A:Stable Code 3B,,
A:DeepSeek-LLM-1.3b-base,,
A:Poro 34B,,
A:CRYSTALCODER,,
A:XVERSE-65B-2,,
A:Mamba-2.8B,,
A:SEA-LION V1 3B,,
A:SEA-LION V1 7B,,
A:Granite 13B,,
A:Yuan 2.0,,
A:Nemotron-3-8B,,
A:HGRN 1B (WT 103),,
A:Jais-30b (phase 1),,
A:XVERSE-13B-2,,
A:DeepSeek Coder 33B,,
A:BlueLM 70B,,
A:BlueLM 130B,,
A:BlueLM 175B,,
A:DeepSeek Coder 1.3B,,
A:DeepSeek Coder 6.7B,,
A:Nanbeige-16B,,
A:Calm2-7B,,
A:BlueLM 7B,,
A:Mi:dm 200B,,
A:Skywork-13B,,
A:Stockmark-13B,,
A:Aquila2 34B,,
A:Jiutian,,
A:CodeFuse-13B,,
A:Phi-1,,
A:TinyLlama-1.1B (3T token checkpoint),,
A:PLaMo-13B,,
A:Baichuan 2-7B,,
A:DeciLM 6B,,
A:Persimmon-8B,,
A:FLM-101B,,
A:XGen-7B,,
A:Baichuan2-13B,,
A:Jais,,
A:Refact-1.6B,,
A:PULI GPTrio,,
A:VARCO LLM 2.0 base,,
A:VARCO LLM 2.0 small Finetuning,,
A:VARCO LLM KO/EN-13B-IST ver.1,,
A:DeciCoder-1B,,
A:Japanese-LM-3.6B,,
A:Japanese StableLM Base Alpha 7B,,
A:Baichuan2-53B,,
A:Weblab-10B,,
A:bilingual-gpt-neox-4b,,
A:RetNet,,
A:Baichuan 1-13B,,
A:InternLM,,
A:CodeGen2.5,,
A:LongNet,,
A:Polyglot-Ko-12.8B,,
A:Baichuan1-7B,,
A:WeLM,,
A:PaLM 2,,
A:StarCoder,,
A:ruGPT-3.5 13B,,
A:Incoder-6.7B,,
A:Cerebras-GPT-13B,,
A:BloombergGPT,,
A:CPM-Bee,,
A:LightOn Mini,,
A:Palmyra Large 20B,,
A:gpt-sw3-40b,,
A:CodeGen-Mono 16.1B,,
A:Hyena-2 355M,,
A:Hyena-2 153M,,
A:Hybrid H3-1.3B,,
A:ALM 1.0,,
A:Verbatim Memory Transformer (117M),,
A:CPM-Ant,,
A:NeMO Megatron GPT 20B,,
A:Luminous-supreme,,
A:Luminous-extended,,
A:Luminous-base,,
A:GLM-130B,,
A:BLOOM-1.7B,,
A:GPT-SW3,,
A:YaLM,,
A:CodeGeeX,,
A:BIG-G 137B,,
A:GPT-2 Medium (FlashAttention),,
A:OPT-175B,,
A:Sparse all-MLP,,
A:PaLM (540B),,
A:NoPos,,
A:Chinchilla,,
A:GPT3-6.7B + muP,,
A:Statement Curriculum Learning,,
A:PolyCoder,,
A:LaMDA,,
A:RETRO-7B,,
A:AlphaCode,,
A:Primer (GPT-3 XL-like 1.9B),,
A:Fairseq-dense 13B,,
A:GLaM,,
A:Gopher (280B),,
A:Japanese dialog transformers,,
A:Yuan 1.0,,
A:Megatron-Turing NLG 530B,,
A:HyperCLOVA 82B,,
A:HyperCLOVA 204B,,
A:NLM,,
A:MEB,,
"A:GPT-2 (1.5B, Curriculum Learning 45K)",,
"A:GPT-2 (117M, SLW 110K)",,
A:Jurassic-1-Jumbo,,
A:EMDR,,
A:PanGu-α,,
A:GLM-10B,,
A:GLM-2B,,
A:AraGPT2-Mega,,
A:CPM-Large,,
A:GShard (dense),,
A:GShard (600B),,
A:GPT-3 6.7B,,
A:GPT-3 XL,,
A:GPT-3 Small,,
A:GPT-3 Medium,,
A:GPT-3 Large,,
A:GPT-3 2.7B,,
A:GPT-3 13B,,
A:GPT-3 175B (davinci),,
A:GPT3-6.7B (rerun of original),,
A:FFN SwiGLU,,
A:RMSNorm (Transformer-base),,
A:Megatron-LM (8.3B),,
A:Megatron-LM (2.5B),,
A:Megatron-LM (355M),,
A:Megatron-LM (1.2B),,
A:Grover-Mega,,
A:GPT-2 (1.5B),,
