uid,band_lo,band_hi,pt_min,pt_max,band_lo_nohoff,band_hi_nohoff,band_lo_core,band_hi_core,n_tech,techs_used
A:EXAONE 3.5 2.4B,3.2371834938721995,11.430467659171226,3.4659616487380327,6.472405941856285,3.2371834938721995,11.430467659171226,4.090372821895895,8.688884657585014,5,"chin,besi,hoff,farseer_emb,gadre_rw"
A:EXAONE 3.5 7.8B,2.549515123301403,10.015414809134427,2.549515123301403,5.471172998331497,2.5774863129040964,10.015414809134427,2.6179195269001605,6.5986887050239025,5,"chin,besi,hoff,farseer_emb,gadre_rw"
A:EXAONE 3.5 32B,1.1724084634984164,6.539500362097312,1.4396089349027104,3.636376482857875,1.1724084634984164,6.539500362097312,1.1724084634984164,3.506456813005044,5,"chin,besi,hoff,farseer_emb,gadre_rw"
A:Pleias 1.0 350m,3.584580340737857,9.793842082169945,4.187636315708078,6.803968168965454,3.584580340737857,9.793842082169945,5.36159832939644,8.274332188747337,5,"chin,besi,hoff,farseer_emb,gadre_rw"
A:Pleias 1.0 1.2B,3.492310247771154,11.29139000272147,3.8544546896205816,6.624356041263717,3.492310247771154,11.29139000272147,4.856852515410125,8.953047588044173,5,"chin,besi,hoff,farseer_emb,gadre_rw"
A:INTELLECT-1,1.180797496338799,4.341153965992144,1.253119218965616,2.7387253165176544,1.180797496338799,4.341153965992144,1.180797496338799,2.3798716909311475,5,"chin,besi,hoff,farseer_emb,gadre_rw"
A:Hymba,2.6049480371024685,7.301937018350086,2.6768906784859063,4.698578090529194,2.6049480371024685,7.301937018350086,3.282442494096985,5.445151843623916,5,"chin,besi,hoff,farseer_emb,gadre_rw"
A:Qwen2.5-Coder (32B),1.107593480070734,6.221400938325014,1.3654974232983372,3.452604712737698,1.107593480070734,6.221400938325014,1.107593480070734,3.250822347100765,5,"chin,besi,hoff,farseer_emb,gadre_rw"
A:Hunyuan-Large,0.939763288297422,6.2551399416902145,1.2320023096382633,3.3347389310692996,0.939763288297422,6.2551399416902145,0.939763288297422,3.0899143348352074,5,"chin,besi,hoff,farseer_emb,gadre_rw"
A:RWKV-5 (Eagle) 7B,1.4115612031274025,4.599123356677851,1.4199226894032646,3.0032834460377944,1.4115612031274025,4.599123356677851,1.4115612031274025,2.733283481136989,5,"chin,besi,hoff,farseer_emb,gadre_rw"
A:RWKV-6 (Finch) 3B,1.928448985895468,5.607910741884678,1.928448985895468,3.678761727908786,2.007025202093125,5.607910741884678,2.1873669013882444,3.7635227333657766,5,"chin,besi,hoff,farseer_emb,gadre_rw"
A:Telechat2-115B,0.6995787391170125,6.384301304016963,0.9651185247757886,3.0990148950808116,0.6995787391170125,6.384301304016963,0.6995787391170125,2.7793772013434173,5,"chin,besi,hoff,farseer_emb,gadre_rw"
A:Qwen2.5-Coder (7B),2.234374907118004,8.372062054310465,2.234374907118004,4.7696638088416226,2.2888896752390555,8.372062054310465,2.2888896752390555,5.395713922298887,5,"chin,besi,hoff,farseer_emb,gadre_rw"
A:Qwen2.5-Coder (1.5B),3.519165885304433,11.829155778296984,3.8416225544601468,6.806642872114372,3.519165885304433,11.829155778296984,4.73071969881283,9.327933666853784,5,"chin,besi,hoff,farseer_emb,gadre_rw"
A:GLA Transformer 1.3B,1.2991006667379632,2.7763737518429714,1.2991006667379632,2.2130967672029893,1.4146249385441716,2.7763737518429714,1.4146249385441716,1.8219723081821755,5,"chin,besi,hoff,farseer_emb,gadre_rw"
A:GLA Transformer 340M,1.1925679725535596,1.8793497818081426,1.1925679725535596,1.7214843544496539,1.2005048171666897,1.8793497818081426,1.2005048171666897,1.8607179988088178,5,"chin,besi,hoff,farseer_emb,gadre_rw"
A:Falcon Mamba,2.298605628630335,8.52423223730277,2.298605628630335,4.859199203167496,2.363698724935764,8.52423223730277,2.3778300858822203,5.5567167914354485,5,"chin,besi,hoff,farseer_emb,gadre_rw"
A:EXAONE 3.0,2.4632415260645812,9.577699799606133,2.4632415260645812,5.28457763433681,2.506142426792618,9.577699799606133,2.5232541947447906,6.269941320495914,5,"chin,besi,hoff,farseer_emb,gadre_rw"
A:AFM-on-device,3.250367973296669,11.781165815775289,3.4673229565378114,6.57791821606831,3.250367973296669,11.781165815775289,4.042005146941286,8.870639437389354,5,"chin,besi,hoff,farseer_emb,gadre_rw"
A:Nemotron-4 340B,0.3893405550948765,4.80693996886333,0.574463330764367,2.3614272190844794,0.3893405550948765,4.80693996886333,0.3893405550948765,1.8534515688221624,5,"chin,besi,hoff,farseer_emb,gadre_rw"
A:PLaMo-100B,0.4564561753541062,3.4740733786266085,0.621033062753403,2.0053568234421233,0.4564561753541062,3.4740733786266085,0.4564561753541062,1.4674970568598207,5,"chin,besi,hoff,farseer_emb,gadre_rw"
A:Mamba2-Hybrid,1.869681307123226,6.873455476262987,1.880144842164336,4.065485008627252,1.869681307123226,6.873455476262987,1.869681307123226,4.270058737476977,5,"chin,besi,hoff,farseer_emb,gadre_rw"
A:Samba 3.8B,2.4239007872179665,7.939677670539361,2.4239007872179665,4.759167570360903,2.437461732191121,7.939677670539361,2.7180324309826784,5.469432157454123,5,"chin,besi,hoff,farseer_emb,gadre_rw"
A:MiniCPM-1.2B,2.528359862101415,6.686384050713078,2.5799869062293954,4.424636621271645,2.528359862101415,6.686384050713078,3.165915253213898,4.984079653899256,5,"chin,besi,hoff,farseer_emb,gadre_rw"
"A:Mamba 2, 2.7B",1.386454582220882,3.5456341770965745,1.386454582220882,2.585851061279051,1.5299651683640767,3.5456341770965745,1.5711671404464382,2.231361146381025,5,"chin,besi,hoff,farseer_emb,gadre_rw"
A:Granite 20B,1.107309990603467,5.236368002702263,1.2860448799422173,3.0609433820516814,1.107309990603467,5.236368002702263,1.107309990603467,2.762163659021305,5,"chin,besi,hoff,farseer_emb,gadre_rw"
A:ALLaM 34B,1.0650359961886715,6.096308615418016,1.3234395062443274,3.3629968599534363,1.0650359961886715,6.096308615418016,1.0650359961886715,3.1342733992538765,5,"chin,besi,hoff,farseer_emb,gadre_rw"
A:Yi-Large,0.5175148483422493,4.071722269899828,0.7050246886173958,2.2553717395565323,0.5175148483422493,4.071722269899828,0.5175148483422493,1.751289204416394,5,"chin,besi,hoff,farseer_emb,gadre_rw"
A:Fugaku-LLM,0.7707403812712413,2.8986504847079093,0.8702081619174147,1.9517259022327738,0.7707403812712413,2.8986504847079093,0.7707403812712413,1.4450505967571354,5,"chin,besi,hoff,farseer_emb,gadre_rw"
A:OpenELM-1.1B,2.900403803192208,8.142342353382155,3.0606485564287484,5.172254198754649,2.900403803192208,8.142342353382155,3.8460092630717315,6.246192725367198,5,"chin,besi,hoff,farseer_emb,gadre_rw"
