model,epoch_model,org,org_cat,country,date,open_weights,accessibility,arch,moe,N_total,N_active,N,D,D_src,D_flag,D_epoch,epochs,C_epoch,C_method,confidence,C_D_ratio,D_C_mismatch,code,distilled,notable,frontier,hf_dev,core,in_B,M,C6,sample
Qwen2.5-Coder (1.5B),Qwen2.5-Coder (1.5B),Alibaba,Industry,China,2024-09-18,True,Open weights (unrestricted),dense,False,1540000000.0,1540000000.0,1540000000.0,5500000000000.0,Epoch C/(6N) (operation counting),D from compute,,,5.082e+22,Operation counting,Confident,1.0,False,True,False,False,False,Qwen,False,False,3571.4285714285716,5.082e+22,A
Qwen2.5-32B,Qwen2.5-32B,Alibaba,Industry,China,2024-09-17,True,Open weights (unrestricted),dense,False,32500000000.0,32500000000.0,32500000000.0,18000000000000.0,Epoch dataset size x epochs,,18000000000000.0,1.0,3.51e+24,Operation counting,Confident,1.0,False,False,False,True,False,Qwen,True,True,553.8461538461538,3.51e+24,A
OLMoE,OLMoE,"Allen Institute for AI,Contextual AI,University of Washington,Princeton University","Research collective,Industry,Academia,Academia","United States of America,United States of America,United States of America,United States of America",2024-09-03,True,Open weights (unrestricted),moe,True,7000000000.0,1300000000.0,1300000000.0,6633539489102.564,Epoch C/(6N) (operation counting),D from compute,,1.2642857143,5.1741608015e+22,"Operation counting,Hardware",Confident,1.0,False,False,False,False,False,,True,True,5102.72268392505,5.1741608015e+22,A
GLA Transformer 1.3B,GLA Transformer 1.3B,"MIT-IBM Watson AI Lab,Massachusetts Institute of Technology (MIT)","Academia,Industry,Academia","United States of America,United States of America",2024-08-27,True,Open weights (unrestricted),ssm/hybrid,False,1300000000.0,1300000000.0,1300000000.0,100000000000.0,Epoch dataset size x epochs,,100000000000.0,,7.8e+20,Operation counting,Confident,1.0,False,False,False,False,False,fla-hub,False,False,76.92307692307692,7.8e+20,A
GLA Transformer 340M,GLA Transformer 340M,"MIT-IBM Watson AI Lab,Massachusetts Institute of Technology (MIT)","Academia,Industry,Academia","United States of America,United States of America",2024-08-27,True,Open weights (unrestricted),ssm/hybrid,False,340000000.0,340000000.0,340000000.0,15000000000.0,Epoch dataset size x epochs,,15000000000.0,,3.06e+19,Operation counting,Confident,1.0,False,False,False,False,False,fla-hub,False,False,44.11764705882353,3.06e+19,A
Falcon Mamba,Falcon Mamba,Technology Innovation Institute,Government,United Arab Emirates,2024-08-12,True,Open weights (restricted use),ssm/hybrid,False,7000000000.0,7000000000.0,7000000000.0,5500000000000.0,Epoch dataset size x epochs,,5500000000000.0,,3.9391101e+23,Hardware,Confident,1.7052424675324676,False,False,False,False,False,tiiuae,True,False,785.7142857142857,2.31e+23,A
EXAONE 3.0,EXAONE 3.0,LG AI Research,Industry,South Korea,2024-08-07,True,Open weights (non-commercial),dense,False,7820000000.0,7820000000.0,7820000000.0,8000000000000.0,Epoch dataset size x epochs,,8000000000000.0,,4e+23,"Reported,Operation counting",Confident,1.0656436487638534,False,False,False,False,False,LGAI-EXAONE,True,False,1023.0179028132992,3.7536e+23,A
AFM-on-device,AFM-on-device,Apple,Industry,United States of America,2024-07-29,False,Hosted access (no API),dense,False,2730000000.0,2730000000.0,2730000000.0,7588000000000.0,Epoch dataset size x epochs,,7588000000000.0,1.0,4.5126e+23,Operation counting,Confident,3.630660325441559,True,False,False,True,False,,True,False,2779.4871794871797,1.2429144e+23,A
Llama 3.1-405B,Llama 3.1-405B,Meta AI,Industry,United States of America,2024-07-23,True,Open weights (restricted use),dense,False,405000000000.0,405000000000.0,405000000000.0,15600000000000.0,Epoch dataset size x epochs,,15600000000000.0,1.0,3.8e+25,"Reported,Operation counting",Confident,1.0024269283528542,False,False,False,True,True,meta-llama,True,True,38.51851851851852,3.7908e+25,A
Llama 3.1-70B,Llama 3.1-70B,Meta AI,Industry,United States of America,2024-07-23,True,Open weights (restricted use),dense,False,70000000000.0,70000000000.0,70000000000.0,15000000000000.0,Epoch dataset size x epochs,,15000000000000.0,,7.929e+24,"Hardware,Operation counting",Confident,1.2585714285714285,False,False,False,True,False,meta-llama,True,True,214.28571428571428,6.3e+24,A
Llama 3.1-8B,Llama 3.1-8B,Meta AI,Industry,United States of America,2024-07-23,True,Open weights (restricted use),dense,False,8000000000.0,8000000000.0,8000000000.0,25500000000000.0,Epoch C/(6N) (operation counting),D from compute,,,1.224e+24,"Hardware,Operation counting",Likely,1.0,False,False,False,False,False,meta-llama,True,True,3187.5,1.224e+24,A
DCLM 7B,DCLM 7B,Apple,Industry,United States of America,2024-07-20,True,Open weights (restricted use),dense,False,7000000000.0,7000000000.0,7000000000.0,2500000000000.0,Epoch dataset size x epochs,,2500000000000.0,,1.05e+23,Operation counting,Confident,1.0,False,False,False,False,False,apple,True,True,357.14285714285717,1.05e+23,A
SmolLM-1.7B,SmolLM-1.7B,,,,2024-07-16,True,Open weights (unrestricted),dense,False,1710000000.0,1710000000.0,1710000000.0,1003898635477.583,Epoch C/(6N) (operation counting),D from compute,,,1.03e+22,Operation counting,Confident,1.0,False,False,False,False,False,HuggingFaceTB,True,True,587.0752254254871,1.03e+22,A
MAP-Neo,MAP-Neo,"University of Waterloo,01.AI,Wuhan University","Academia,Industry,Academia","Canada,China,China",2024-07-10,True,Open weights (unrestricted),dense,False,7000000000.0,7000000000.0,7000000000.0,4500000000000.0,Epoch dataset size x epochs,,4500000000000.0,,1.89e+23,Operation counting,Confident,1.0,False,False,False,False,False,m-a-p,True,True,642.8571428571429,1.89e+23,A
Gemma 2 9B,Gemma 2 9B,Google DeepMind,Industry,United States of America,2024-06-24,True,Open weights (restricted use),dense,False,9000000000.0,9000000000.0,9000000000.0,8000000000000.0,Epoch dataset size x epochs,,8000000000000.0,,4.32e+23,Operation counting,Confident,1.0,False,False,False,False,False,google,True,True,888.8888888888889,4.32e+23,A
Gemma 2 27B,Gemma 2 27B,Google DeepMind,Industry,United States of America,2024-06-24,True,Open weights (restricted use),dense,False,27000000000.0,27000000000.0,27000000000.0,13000000000000.0,Epoch dataset size x epochs,,13000000000000.0,,2.106e+24,Operation counting,Confident,1.0,False,False,False,False,False,google,True,True,481.48148148148147,2.106e+24,A
Gemma 2 2B,Gemma 2 2B,Google DeepMind,Industry,United States of America,2024-06-24,True,Open weights (restricted use),dense,False,2600000000.0,2600000000.0,2600000000.0,2000000000000.0,Epoch dataset size x epochs,,2000000000000.0,,3.12e+22,Operation counting,Confident,1.0,False,False,False,False,False,,True,True,769.2307692307693,3.12e+22,A
Nemotron-4 340B,Nemotron-4 340B,Nvidia,Industry,United States of America,2024-06-14,True,Open weights (unrestricted),dense,False,340000000000.0,340000000000.0,340000000000.0,9000000000000.0,Epoch dataset size x epochs,notes mention words; kept,9000000000000.0,,1.7999999999999999e+25,"Operation counting,Hardware",Confident,0.980392156862745,False,False,False,True,True,nvidia,True,False,26.470588235294116,1.836e+25,A
PLaMo-100B,PLaMo-100B,Preferred Networks Inc,Industry,Japan,2024-06-14,False,API access,dense,False,100000000000.0,100000000000.0,100000000000.0,1999999999999.9998,Epoch C/(6N) (operation counting),D from compute,,,1.1999999999999999e+24,Operation counting,Confident,1.0,False,False,False,False,False,,True,False,19.999999999999996,1.1999999999999999e+24,A
