unit,unit_type,family,dev,n_members,members,reading,bound,fam_class,year,date,C_total,N_flagship,D_flagship,M_cw,w_ref,s_ref,w_lab1,s_lab1,w_ra2primary,s_ra2primary,serve_any,serve_all,serve_flagship,serve_hi_any,serve_developer,tier_share,tier_any,ondevice,local,has_lab,lab_path,emb_share_min,emb_share_max,emb_share_cw,N_emb_share_flagship
B:HuggingFaceTB/SmolLM-135M,model,SmolLM,Hugging Face,1,SmolLM-135M,,point (member),size-specific-D,2024,2024-07-14 21:45:18,4.842540288e+20,134515008.0,600000000000.0,4460.468827389135,9.54032853240347,0.8951818067267258,9.54032853240347,0.8951818067267258,9.54032853240347,0.8951818067267258,0,0,0,0,0,0.0,0,1,1,0,,0.21047132525167744,0.21047132525167744,0.21047132525167747,0.21047132525167744
B:HuggingFaceTB/SmolLM-360M,model,SmolLM,Hugging Face,1,SmolLM-360M,,point (member),size-specific-D,2024,2024-07-14 21:48:37,1.302556032e+21,361821120.0,600000000000.0,1658.2779910691777,6.269117719213783,0.8404879211415716,6.269117719213783,0.8404879211415716,6.269117719213783,0.8404879211415716,0,0,0,0,0,0.0,0,1,1,0,,0.13041228770725155,0.13041228770725155,0.13041228770725155,0.13041228770725155
B:HuggingFaceTB/SmolLM-1.7B,model,SmolLM,Hugging Face,1,SmolLM-1.7B,,point (member),size-specific-D,2024,2024-07-16 00:00:00,1.0268258304e+22,1711376384.0,1000000000000.0,584.3249967389993,4.039604719344119,0.752451026900879,4.039604719344119,0.752451026900879,4.039604719344119,0.752451026900879,0,0,0,0,0,0.0,0,1,1,0,,0.058820080106936845,0.058820080106936845,0.058820080106936845,0.058820080106936845
B:cerebras/btlm-3b-8k-base,model,BTLM,Cerebras,1,btlm-3b-8k-base,,point (member),singleton,2023,2023-09-20 00:00:00,1.1286e+22,3000000000.0,627000000000.0,208.99999999999997,2.6038064478688514,0.6159468762286558,2.6038064478688514,0.6159468762286558,2.6038064478688514,0.6159468762286558,0,0,0,0,0,1.0,1,0,0,0,,0.04288597333333333,0.04288597333333333,0.04288597333333333,0.04288597333333333
B:h2oai/h2o-danube-1.8b-base,model,H2O-Danube1,H2O.ai,1,h2o-danube-1.8b-base,,point (member),singleton,2024,2024-01-23 11:25:25,1.098720768e+22,1831201280.0,1000000000000.0,546.0896139172644,3.9252446146294586,0.7452388072139551,3.9252446146294586,0.7452388072139551,3.9252446146294586,0.7452388072139551,0,0,0,0,0,0.0,0,0,0,0,,0.08947132234420452,0.08947132234420452,0.08947132234420452,0.08947132234420452
B:h2oai/h2o-danube3-500m-base,model,H2O-Danube3,H2O.ai,1,h2o-danube3-500m-base,,point (member),size-specific-D,2024,2024-07-04 13:16:04,1.2326178816e+22,513590784.0,4000000000000.0,7788.301746473709,12.228305415430633,0.9182225201262866,12.228305415430633,0.9182225201262866,12.228305415430633,0.9182225201262866,0,0,0,0,0,0.0,0,1,1,0,,0.1914053037213378,0.1914053037213378,0.1914053037213378,0.1914053037213378
B:h2oai/h2o-danube3-4b-base,model,H2O-Danube3,H2O.ai,1,h2o-danube3-4b-base,,point (member),size-specific-D,2024,2024-07-04 13:24:14,1.4262621696e+23,3961839360.0,6000000000000.0,1514.448076965947,6.11861536258296,0.8365643302052815,6.11861536258296,0.8365643302052815,6.11861536258296,0.8365643302052815,0,0,0,0,0,0.0,0,1,1,0,,0.06203179323252517,0.06203179323252517,0.06203179323252517,0.06203179323252517
B:allenai/OLMo-1B-hf,model,OLMo-1,AI2,1,OLMo-1B-hf,,point (member),size-specific-D,2024,2024-02-01 00:00:00,2.1181759488e+22,1176764416.0,3000000000000.0,2549.3632873412816,7.599357530431011,0.8684099286030982,4.979801598129115,0.7991887868834584,19.20026205220526,0.9479173775190665,0,0,0,0,0,0.0,0,0,0,1,ai2,0.08754733793717973,0.08754733793717973,0.08754733793717973,0.08754733793717973
B:allenai/OLMo-7B-hf,model,OLMo-1,AI2,1,OLMo-7B-hf,,point (member),size-specific-D,2024,2024-02-01 00:00:00,1.0332143616e+23,6888095744.0,2500000000000.0,362.9450130941733,3.3191740354760872,0.6987202269866623,1.7982130425366203,0.4438923662852728,2.944878859146488,0.660427458027992,0,0,0,0,0,1.0,1,0,0,1,ai2,0.05982645760389704,0.05982645760389704,0.05982645760389704,0.05982645760389704
B:allenai/OLMo-7B-0424-hf,model,OLMo-1.7,AI2,1,OLMo-7B-0424-hf,,point (member),singleton,2024,2024-04-17 00:00:00,8.47235776512e+22,6888095744.0,2050000000000.0,297.6149107372221,3.047365754006383,0.6718477266191969,1.6636031371631816,0.3988950984396282,2.5519376252892503,0.6081408925946399,0,0,0,0,0,1.0,1,0,0,1,ai2,0.05982645760389704,0.05982645760389704,0.05982645760389704,0.05982645760389704
