uid,tech,N_used,M_used,C_used,lnMstar,lnw,w,w_lo,w_hi,sd_lnw,s,s_lo,s_hi,M_extrap,C_extrap,Mstar
B:google/gemma-3-12b-pt,marin_comma_mf,11770325040.0,1019.5130516123793,8.4746340288e+23,4.029440156896127,1.2420300950919163,3.46263581430396,2.5301454555540177,6.072857908355456,0.23881658924243,0.711202663627213,0.6047658059322786,0.8353328836124865,0.0,True,56.229422779071825
B:google/gemma-3-27b-pt,marin_comma_mf,27015406640.0,518.2228121368007,2.26929415776e+24,4.216724647721039,0.8717067528952374,2.39098819905507,1.8501438217823383,3.9803899978763484,0.20899700921586145,0.5817628876649392,0.4595014786274027,0.7487683366369806,0.0,True,67.811015192824
B:allenai/OLMo-2-0425-1B,marin_comma_mf,1484916736.0,2727.4256541209866,3.60834766848e+22,3.4292764473757202,1.9210723205171139,6.828276646018031,4.490734879623996,13.170169000908626,0.2901822344582143,0.853550163263646,0.777319296995834,0.924070830075832,0.0,True,30.85430995423726
B:allenai/OLMo-2-1124-7B,marin_comma_mf,7298617344.0,554.8996212727055,1.773564014592e+23,3.7320430794264396,1.108769146176252,3.0306258403887085,2.302342690564014,4.942146457084545,0.20840916741622217,0.6700351502738656,0.5656597933494314,0.797658768576859,0.0,True,41.76434893961821
B:allenai/OLMo-2-1124-13B,marin_comma_mf,13716198400.0,375.46846799766325,4.2383053056e+23,3.897688744060085,0.8703373106800498,2.3877161198523287,1.8779507276926486,3.8085667954679625,0.19102405981536422,0.5811897437531869,0.4675046659884129,0.7374340391797883,0.0,True,49.28839925156017
B:allenai/OLMo-2-0325-32B,marin_comma_mf,32234279936.0,190.79067415839916,1.1894449296384e+24,4.093896914458929,0.49605072727249144,1.6422228611923824,1.3560669170205166,2.484597908735588,0.16497878564769963,0.39106924910671276,0.26257326430678607,0.5975203889192275,0.0,True,59.97314714496836
B:allenai/OLMoE-1B-7B-0924,marin_comma_mf,1300000000.0,3946.153846153846,4.0014e+22,3.448935959466038,2.0709761483960243,7.932562698099611,5.073392160755182,15.900055944140696,0.3093101299880385,0.8739373342438795,0.8028932185184856,0.9371071395274865,1.0,True,31.46689244026535
B:allenai/Olmo-3-1025-7B,marin_comma_mf,7298011136.0,826.2525073790187,2.6404204290048e+23,3.807709165762173,1.246981268999976,3.479822438273367,2.568253431595194,5.963869010334175,0.22796860857640885,0.7126290154918984,0.6106303265488563,0.8323236143739571,0.0,True,45.04712507767485
B:allenai/Olmo-3-1125-32B,marin_comma_mf,32233522176.0,173.73217762002974,1.0830463451136e+24,4.076078985232861,0.46354131241328744,1.5896936304482636,1.3185423837617944,2.3812124363115355,0.16094390748317441,0.3709479733412413,0.24158676102090454,0.5800458687554203,0.0,True,58.9140136573068
B:HuggingFaceTB/SmolLM2-135M,marin_comma_mf,134515008.0,14868.229424630446,1.614180096e+21,2.838506601213611,2.9012056067183147,18.19606945445665,10.020236865773128,41.74795199087998,0.3886465286954253,0.9450430763356382,0.900201959954083,0.9760467291852196,1.0,True,17.090223950298977
B:HuggingFaceTB/SmolLM2-360M,marin_comma_mf,361821120.0,11055.186607127853,8.68370688e+21,3.158442046174663,2.637053942807909,13.971980660855738,8.053987561701042,31.19297170132528,0.36745160883898537,0.9284281860766079,0.875837901121765,0.9679414962583538,1.0,True,23.533902619637754
B:HuggingFaceTB/SmolLM2-1.7B,marin_comma_mf,1711376384.0,6427.574964128989,1.12950841344e+23,3.646249790843946,2.195512667470771,8.984605991547951,5.57071530722887,19.136901277276078,0.3329811970753437,0.8886985137755928,0.8204898393026216,0.9477449360525552,1.0,True,38.33064822141648
B:HuggingFaceTB/SmolLM3-3B-Base,marin_comma_mf,3075098624.0,3642.1596083417194,2.066466275328e+23,3.7611059433812066,1.9028078084258606,6.7046935328004285,4.331624530989377,13.51124518424576,0.30272971742294325,0.8508507517744337,0.7691397320229895,0.9259875765435736,1.0,True,42.99595078123384
B:microsoft/Phi-3-mini-4k-instruct,marin_comma_mf,3821079552.0,1282.360111407594,1.123397388288e+23,3.6452182698753326,1.5050401141705727,4.504334314299466,3.1705124204442017,8.061987394572702,0.24998910752051057,0.7779916120290187,0.6845935711994795,0.8759611059832224,0.0,True,38.29112973961095
B:microsoft/Phi-3-small-8k-instruct,marin_comma_mf,7392274432.0,649.3265427513825,2.128975036416e+23,3.7667722665187693,1.1612423526844449,3.193898761040347,2.4000873521974913,5.311994868617181,0.21612959918597419,0.6869030376923185,0.5833484980934498,0.8117468060995473,0.0,True,43.24027127770418
B:microsoft/Phi-3-medium-4k-instruct,marin_comma_mf,13960238080.0,343.8336776560189,4.02054856704e+23,3.8876597251906464,0.8369091665864641,2.3092185253584137,1.827322649126058,3.648430050412535,0.18691952662503689,0.5669530670143961,0.45275126947161537,0.7259095045862458,0.0,True,48.79655544335243
B:microsoft/Phi-3.5-mini-instruct,marin_comma_mf,3821079552.0,889.8008936297592,7.79500228608e+22,3.5757293529316065,1.3781766386208414,3.9676605489388796,2.8697948325932017,6.827604893758296,0.2317304798457456,0.7479623098635688,0.6515430341421373,0.8535357544028087,0.0,True,35.72066428827741
B:microsoft/Phi-3.5-MoE-instruct,marin_comma_mf,6600000000.0,742.4242424242424,1.9404e+23,3.7491373422454313,1.2262320044755555,3.408362615182892,2.527753077476842,5.763862726585801,0.22263352366259223,0.7066039876316563,0.604391738690639,0.8265052366033107,0.0,True,42.484416676029625
B:microsoft/phi-4,marin_comma_mf,14659507200.0,668.5081473952959,8.6197902336e+23,4.032669376071086,1.0597483240606547,2.8856446505427593,2.183242244434778,4.893604055939411,0.21881387604307664,0.6534569841051252,0.5419656235815962,0.7956516325046177,0.0,True,56.41129340131383
B:microsoft/Phi-4-mini-instruct,marin_comma_mf,3836021760.0,1303.433690636833,1.150806528e+23,3.6498017250507306,1.5100621780760282,4.527012266476349,3.182998383818945,8.117344168941376,0.2507995581427199,0.7791037573710041,0.6858308175449951,0.87680699756132,0.0,True,38.46703824279953
B:deepseek-ai/DeepSeek-V2-Lite,marin_comma_mf,2400000000.0,2375.0,8.208e+22,3.5855456701287096,1.7947835977355933,6.018172234782566,4.000681223827619,11.518512108391494,0.28178944547804663,0.833836593406149,0.7500425692394311,0.9131832314286948,0.0,True,36.07303632773233
B:deepseek-ai/DeepSeek-V3-Base,marin_comma_mf,37000000000.0,400.0,3.2856e+24,4.287092144001829,0.7305537079189648,2.0762299143998355,1.637243251040985,3.389106722980582,0.1987912833862296,0.5183577728726326,0.3892172104760949,0.7049369991156429,0.0,True,72.75460070634708
B:moonshotai/Kimi-K2-Base,marin_comma_mf,32000000000.0,484.375,2.976e+24,4.268274039513042,0.8206583442448618,2.2719951001781777,1.768581384440846,3.7690523226504413,0.20671230029254686,0.5598582057146265,0.4345750731080099,0.7346813165764734,0.0,True,71.39829857023219
B:zai-org/GLM-4.5-Base,marin_comma_mf,32000000000.0,718.75,4.416e+24,4.3433140147952205,0.9576561920768061,2.605582326527672,1.9772963271899182,4.515873948931532,0.22505506099112377,0.6162086341241616,0.49425890988166965,0.7785589209732918,0.0,True,76.96217095199017
B:tiiuae/Falcon3-7B-Base,marin_comma_mf,7455550464.0,1877.7956191968176,6.26266238976e+23,3.9719277894486957,1.5284807959806113,4.611166196143179,3.211365214449178,8.74751285977504,0.268576610918391,0.7831351208211907,0.6886059562765979,0.8856817913811312,0.0,True,53.08677237758802
B:tiiuae/falcon-11B,marin_comma_mf,11102822400.0,495.3695377492483,3.663931392e+23,3.8699991113203644,1.0009934804545146,2.7209837302465574,2.0955400459206475,4.430990531404862,0.20365405272959575,0.6324858583739541,0.5227960439378464,0.7743168276004088,0.0,True,47.94234347541599
B:ibm-granite/granite-3.0-2b-base,marin_comma_mf,2533525504.0,4736.482810634458,1.82413836288e+23,3.7373892108299795,2.025583781150168,7.580535026620095,4.80322887671608,15.711229250207985,0.31641680265534977,0.8680831898423579,0.7918067146773796,0.9363512565392195,1.0,True,41.988224537998484
B:ibm-granite/granite-3.0-8b-base,marin_comma_mf,8170835968.0,1468.6379762115425,5.88300189696e+23,3.9600367011308535,1.4282350511879827,4.171330506337934,2.9619037023264143,7.672982991752294,0.256415027641819,0.7602683368098988,0.6623793004429703,0.8696725900376813,0.0,True,52.45925122761267
B:swiss-ai/Apertus-8B-2509,marin_comma_mf,8053338176.0,1862.5816614409612,7.2480043584e+23,3.9997113514962592,1.513084829152879,4.540716546172417,3.1687354885260004,8.605519082900488,0.26817459499008767,0.7797704415522376,0.6844167007246258,0.8837955049118373,0.0,True,54.58239263311454
B:swiss-ai/Apertus-70B-2509,marin_comma_mf,70599864480.0,212.46499707162045,6.3539878032e+24,4.412496525816865,0.40560906423667653,1.5002159497360392,1.2338195523364914,2.3533885197100397,0.17645097852657637,0.33342929717821723,0.18950871048663961,0.5750807860135182,0.0,True,82.47510793528619
B:marin-community/marin-8b-base,marin_comma_mf,8030261248.0,1581.5176627239912,6.119059070976e+23,3.9675170756452705,1.4567689132034953,4.292069052118674,3.0304727572973995,7.967548694125729,0.26007296454469625,0.7670121361383097,0.6700184822344986,0.8744908831574165,0.0,True,52.85313744506258
B:apple/DCLM-7B,marin_comma_mf,6889674752.0,362.8618316523979,1.0334512128e+23,3.6293503152524895,0.9707176615143087,2.6398382900529356,2.0630388030638613,4.092963643728254,0.18757808293650016,0.6211889176060298,0.5152781428469113,0.7556782598026924,0.0,True,37.688323132823044
B:m-a-p/neo_7b,marin_comma_mf,7793716224.0,567.1235483772215,2.0668935426048e+23,3.7611452533210112,1.1056348681370025,3.0211418868096676,2.2913450400212256,4.942800882033962,0.20955794417065532,0.6689993262593826,0.5635751130738753,0.7976855584786373,0.0,True,42.997640982691536
B:LLM360/K2,marin_comma_mf,65286184960.0,21.444046713064363,5.48403953664e+23,3.946684008017071,-0.3777290195423273,0.6854162099012024,0.6168325679414086,0.9173371754965314,0.10516980202746487,-0.45896753761359455,-0.6211854755616397,-0.09011171324079974,0.0,True,51.763434794953774
B:stabilityai/stablelm-3b-4e1t,marin_comma_mf,2795443200.0,1430.9001163035614,6.70906368e+22,3.547203742106271,1.5940316073265013,4.923558824462323,3.4028490099723716,8.891702457704946,0.2559746511088458,0.7968948811921213,0.7061286007491354,0.88753559796263,0.0,True,34.71610645067666
B:meta-llama/Llama-2-7b-hf,marin_comma_mfbc,6738417664.0,296.80558548411165,8.0861011968e+22,3.582700664744559,1.0161521064597068,2.7625443097941007,2.348060908537221,4.115427674955246,0.152738054636049,0.6380148559229689,0.5741166694764434,0.7570118881968021,0.0,True,35.97055419539108
B:meta-llama/Llama-2-13b-hf,marin_comma_mfbc,13015866880.0,153.6586090222828,1.5619040256e+23,3.70787890804419,0.6388840081632221,1.8943656026603128,1.6258918109649607,2.7436804231238345,0.1422677321163588,0.47211879343899044,0.3849529265994004,0.6355260650723149,0.0,True,40.76724368293183
B:meta-llama/Llama-2-70b-hf,marin_comma_mfbc,68976653312.0,28.99531803831451,8.27719839744e+23,4.024957977026016,-0.3167438566411853,0.728517336106367,0.6247071976730544,1.0242416632416982,0.1329354793938522,-0.37265093147213063,-0.6007499252847702,0.023667913649376413,0.0,True,55.97795637201257
B:huggyllama/llama-7b,marin_comma_mfbc,6738417664.0,148.40279274205582,4.0430505984e+22,3.450904909498636,0.7458598678028245,2.108253475095031,1.8334703467925826,2.9714208570063017,0.12980297508478966,0.5256737333470187,0.4545862158341586,0.6634606647381828,0.0,True,31.528910214074564
B:huggyllama/llama-13b,marin_comma_mfbc,13015866880.0,76.8293045111414,7.809520128e+22,3.576083152798267,0.3685917695063399,1.4456973054693787,1.2679248448266986,1.9711949637433948,0.12111238947013225,0.30829227099145273,0.21130972069824763,0.49269350906774256,0.0,True,35.7333044904587
B:huggyllama/llama-30b,marin_comma_mfbc,32528947456.0,43.03858899503889,2.732431586304e+23,3.8142222100743215,-0.025098367042158287,0.97521397839553,0.851941618764839,1.3351750859094333,0.12460429189684119,-0.025415982700790596,-0.17378935125838652,0.25103455677585096,0.0,True,45.34147652091183
B:huggyllama/llama-65b,marin_comma_mfbc,65285665792.0,21.444217241505925,5.483995926528e+23,3.946682495973466,-0.4243134290506738,0.6542187985940269,0.5630900705241726,0.9029025693367607,0.12554112013218302,-0.5285406077432917,-0.7759148178001329,-0.10753921182721134,0.0,True,51.763356526442394
B:meta-llama/Meta-Llama-3-70B,marin_comma_mfbc,70553706496.0,212.60399694026586,6.34983358464e+24,4.412372171480003,0.45601153084970747,1.577768537673469,1.3082519916875193,2.539104519062233,0.18461185522206494,0.3661934712714131,0.23562126688597954,0.606160363824121,0.0,True,82.46485243560245
