set,uid,model,dev,M,C,dlo,dhi,sign,w_lo,w_hi,s_lo,s_hi
"PI-1 IsoFLOP anchors, e from A2/published paths",B:allenai/OLMo-2-0325-32B,OLMo-2-0325-32B,AI2,190.79067415839916,1.1894449296384e+24,0.5895691871174753,4.463098496017168,w>1,1.268447833199637,10.016353517701381,0.21163490225883558,0.900163268176113
"PI-1 IsoFLOP anchors, e from A2/published paths",B:allenai/Olmo-3-1025-7B,Olmo-3-1025-7B,AI2,826.2525073790187,2.6404204290048e+23,2.3606866183221378,5.694021186299404,w>1,2.5912694295625474,18.910603639721373,0.6140887595124302,0.9471196150555703
"PI-1 IsoFLOP anchors, e from A2/published paths",B:allenai/Olmo-3-1125-32B,Olmo-3-1125-32B,AI2,173.73217762002974,1.0830463451136e+24,0.51369716239748,4.35481791731859,w>1,1.2302188990010066,9.471769607065662,0.18713653252112672,0.8944231076678608
"PI-1 IsoFLOP anchors, e from A2/published paths",B:HuggingFaceTB/SmolLM2-135M,SmolLM2-135M,Hugging Face,14868.229424630446,1.614180096e+21,5.53348845560513,7.788926855881515,w>1,9.317090264060251,55.772766051822494,0.892670353977636,0.982070102116312
"PI-1 IsoFLOP anchors, e from A2/published paths",B:HuggingFaceTB/SmolLM2-360M,SmolLM2-360M,Hugging Face,11055.186607127853,8.68370688e+21,5.111013390403303,7.75508879747474,w>1,7.857365202191749,54.80687779927337,0.8727308742476348,0.9817541148090494
"PI-1 IsoFLOP anchors, e from A2/published paths",B:HuggingFaceTB/SmolLM2-1.7B,SmolLM2-1.7B,Hugging Face,6427.574964128989,1.12950841344e+23,4.420631795201555,7.61300508085232,w>1,5.947649933889092,50.93041932061641,0.8318663655199168,0.9803653688043522
"PI-1 IsoFLOP anchors, e from A2/published paths",B:HuggingFaceTB/SmolLM3-3B-Base,SmolLM3-3B-Base,Hugging Face,3642.1596083417194,2.066466275328e+23,3.805898773235712,7.139217537031872,w>1,4.641570315326278,39.87909349003655,0.784555671450664,0.974924204326514
"PI-1 IsoFLOP anchors, e from A2/published paths",B:tiiuae/Falcon3-7B-Base,Falcon3-7B-Base,TII,1877.7956191968176,6.26266238976e+23,3.0740435107547475,6.64970667460097,w>1,3.455163537073727,30.973325964137683,0.7105780987585533,0.9677141550391506
"PI-1 IsoFLOP anchors, e from A2/published paths",B:tiiuae/falcon-11B,falcon-11B,TII,495.3695377492483,3.663931392e+23,1.6782619406205042,5.233530161403529,w>1,1.967772171811172,14.909213865382839,0.49181108752057284,0.932927382420755
"PI-1 IsoFLOP anchors, e from A2/published paths",B:ibm-granite/granite-3.0-2b-base,granite-3.0-2b-base,IBM,4736.482810634458,1.82413836288e+23,3.975925121079853,7.382477332355117,w>1,4.971046299132528,45.215636158474474,0.7988351063689539,0.9778837569265831
"PI-1 IsoFLOP anchors, e from A2/published paths",B:ibm-granite/granite-3.0-8b-base,granite-3.0-8b-base,IBM,1468.6379762115423,5.88300189696e+23,2.6684427048058863,6.3941875880255665,w>1,2.9337360967185995,27.14536678763292,0.6591377114258826,0.9631613008649569
"PI-1 IsoFLOP anchors, e from A2/published paths",B:swiss-ai/Apertus-8B-2509,Apertus-8B-2509,Swiss AI,1862.5816614409612,7.2480043584e+23,3.021946413285492,6.664366484749644,w>1,3.383319063459572,31.208640106601155,0.7044322509218324,0.9679575913405953
"PI-1 IsoFLOP anchors, e from A2/published paths",B:swiss-ai/Apertus-70B-2509,Apertus-70B-2509,Swiss AI,212.46499707162045,6.3539878032e+24,0.3851200824961838,4.832091825641393,w>1,1.1680462308941981,12.118386722409399,0.14386950314933192,0.917480765145843
"PI-1 IsoFLOP anchors, e from A2/published paths",B:marin-community/marin-8b-base,marin-8b-base,Marin,1581.5176627239912,6.119059070976e+23,2.887148068120366,6.4743743196262145,w>1,3.204282796308281,28.292743999006177,0.68791768281123,0.964655248708463
"PI-1 IsoFLOP anchors, e from A2/published paths",B:m-a-p/neo_7b,neo_7b,M-A-P,567.1235483772215,2.0668935426048e+23,2.0249709103960205,5.279494883283698,w>1,2.2631144473639,15.267252544919726,0.5581310520266394,0.9345003302291769
"PI-1 IsoFLOP anchors, e from A2/published paths",B:stabilityai/stablelm-3b-4e1t,stablelm-3b-4e1t,Stability AI,1430.9001163035614,6.70906368e+22,3.046601126886997,6.029449776984669,w>1,3.417131005171486,22.48612999917089,0.7073568445322699,0.9555281411235783
PI-2 PI-1 + M* nondecreasing in C,B:meta-llama/Llama-2-7b-hf,Llama-2-7b-hf,Meta,296.80558548411165,8.0861011968e+22,1.4669674538374702,3.6125054315016945,w>1,1.8070208189199644,6.456406529006819,0.4466029447310471,0.8451150813525633
PI-2 PI-1 + M* nondecreasing in C,B:meta-llama/Llama-2-13b-hf,Llama-2-13b-hf,Meta,153.6586090222828,1.5619040256e+23,0.70133979541062,2.9541614184590577,w>1,1.3269392695506366,4.595977594331683,0.24638600805095884,0.7824184344951287
