design,E,ssr,gamma,in_set
Chinchilla,0.2091276607884905,0.006171284151710641,0.05833959008686181,False
Chinchilla,0.21096211395330183,0.006166141693146845,0.0583853704199687,False
Chinchilla,0.21279656711811315,0.0061609933878328015,0.058431222522947066,False
Chinchilla,0.21463102028292447,0.006155839227233402,0.05847714662836445,False
Chinchilla,0.21646547344773578,0.006150679202803005,0.058523142568533394,False
Chinchilla,0.2182999266125471,0.006145513305985115,0.05856921102779595,False
Chinchilla,0.22013437977735842,0.006140341528213683,0.058615351542823664,False
Chinchilla,0.22196883294216974,0.006135163860911296,0.058661564930347895,False
Chinchilla,0.22380328610698105,0.006129980295490821,0.05870785090804018,False
Chinchilla,0.22563773927179237,0.006124790823354475,0.05875420996715616,False
Chinchilla,0.22747219243660372,0.006119595435894416,0.05880064192007585,False
Chinchilla,0.22930664560141503,0.0061143941244921245,0.05884714711531744,False
Chinchilla,0.23114109876622635,0.006109186880519218,0.058893725705463966,False
Chinchilla,0.23297555193103767,0.006103973695336455,0.058940378070499004,False
Chinchilla,0.23481000509584898,0.00609875456029515,0.05898710414280803,False
Chinchilla,0.2366444582606603,0.006093529466735781,0.059033904067332776,False
Chinchilla,0.23847891142547162,0.006088298405989015,0.059080778286371545,False
Chinchilla,0.24031336459028294,0.00608306136937518,0.05912772681517263,False
Chinchilla,0.24214781775509425,0.006077818348204611,0.059174749768849504,False
Chinchilla,0.2439822709199056,0.0060725693337775576,0.059221847361697805,False
Chinchilla,0.24581672408471691,0.006067314317384138,0.059269019607918756,False
Chinchilla,0.24765117724952823,0.006062053290304231,0.059316267178517706,False
Chinchilla,0.24948563041433955,0.006056786243808194,0.05936358983896894,False
Chinchilla,0.25132008357915087,0.006051513169156222,0.05941098795758466,False
Chinchilla,0.2531545367439622,0.006046234057598273,0.059458461369432,False
