gC,sigma,scenario,spec,stock,year,C,m_D,w_sigma,D_w,U,r_obs,r_opt,life_penalty,train_penalty,N_ratio,ratio_proc,ratio_proc_vs_w,w_hat_proc,shadow_usd_per_Mtok,epochs,s_true_c,s_hat_proc,extra_life_usd_bn
hat,0.7,trend,D3,100T,2027.5,3.285282740472747e+27,2.184533729979877,1.9537947246506127,230555267108388.94,118621263804439.83,1.943625111670405,0.8897208063197583,0.03240105132731674,-0.03720704266735719,1.1053812138252506,0.8421647987359178,0.9030517069989596,1.764377661221298,5.706413449462551,1.6929078817391339,0.5226845038646808,0.43322791827470636,0.21118092108175665
hat,0.7,trend,D3,100T,2028.0,7.3913872517505e+27,3.1350093052399366,2.6628553291247434,494836121829063.4,121550625000000.02,4.071029020451876,1.2985699958362011,0.1273358897575041,-0.06598979271970218,1.2435971658235132,0.6677186731351875,0.8059261222406076,2.1460646694892413,36.80073376348341,3.0575678071109276,0.6888636756253468,0.5340308173294713,2.544885509825785
hat,0.7,trend,D3,100T,2028.5,1.6629498835000692e+28,4.499030254859706,3.6292443696284713,1062056792446699.6,124552326994661.81,8.526992775431793,1.8952957176096368,0.277471319930658,-0.1306990976364849,1.4327138003490223,0.47112006394954814,0.6923291673839458,2.5126317326577525,188.25509192273202,5.173763603257171,0.812499357615285,0.6020109166804785,17.004245471977068
hat,0.7,trend,D3,100T,2029.0,3.741384696598062e+28,6.456527322043733,4.946350089101268,2279471082694778.0,127628156250000.03,17.860252389995466,2.766231984958445,0.4829543978533297,-0.25925958159945994,1.6710304586930866,0.2830087295003872,0.5665804506114374,2.80250526236492,863.3993537250388,7.91715720038492,0.8990158079983166,0.643176405971798,90.75430491175739
hat,0.7,trend,D3,100T,2030.0,1.893820330496557e+29,13.297167887387415,9.188024199570016,1.0500422640197986e+16,134009564062500.05,78.35577045307562,5.892666101282919,1.0001297051675242,-0.6011948302934856,2.1956988066297667,0.06851943339146299,0.3436458815425282,3.1574266756953198,13939.703036016952,14.231772699730113,0.9782989629121399,0.6832863902437948,1767.099989607407
hat,0.7,trend,D3,100T,2031.0,9.586171257564732e+29,27.385414016864818,17.067087280759573,4.837037699659495e+16,140710042265625.05,343.75923862835526,12.552639825589537,1.5060214955953013,-0.8402229289534648,2.6520494833413073,0.012574983861615761,0.19723217892005837,3.3661788122030245,177458.77795727845,20.710339169096482,0.9962643149508192,0.7029272490294295,25019.55934358362
hat,0.7,trend,DN,100T,2026.7282683093772,9.398037560015233e+26,1.2508928117367921,1.2115225766119495,70929895287991.31,114237868999435.28,0.6208965197726328,0.49636268907049996,0.0,0.0,1.0,1.0,1.0,1.2115225766119495,0.0,0.6208965197726328,,,
hat,0.7,trend,DN,100T,2027.0,1.4602242200599083e+27,1.5222243868442225,1.4335415763376376,107420879047675.0,115762500000000.02,0.9279419418868371,0.609596029275675,0.0,0.0,1.0,1.0,1.0,1.4335415763376376,0.0,0.9279419418868371,,,
hat,0.7,trend,DN,100T,2027.5,3.285282740472747e+27,2.184533729979877,1.9537947246506127,230555267108388.94,118621263804439.83,1.943625111670405,0.8897208063197583,0.0072930028268365366,-0.007975572800111963,1.0233012436278555,0.962315505006431,0.9771268207989757,1.9091052277916634,1.2565872397461377,1.8842189434466807,0.4959337542019205,0.4761944048748224,0.04753373706502936
hat,0.7,trend,DN,100T,2028.0,7.3913872517505e+27,3.1350093052399366,2.6628553291247434,494836121829063.4,121550625000000.02,4.071029020451876,1.2985699958362011,0.027476813398050748,-0.013050019337394025,1.0518486466090475,0.9147438454027116,0.9523056991387284,2.5358523059074276,7.571459934532278,3.8198480608068563,0.6392755827018165,0.6056552671973691,0.5491408934751292
hat,0.7,trend,DN,100T,2028.5,1.6629498835000692e+28,4.499030254859706,3.6292443696284713,1062056792446699.6,124552326994661.81,8.526992775431793,1.8952957176096368,0.0586067448152614,-0.029519023085259777,1.0921242713405623,0.8393279756848282,0.9155442273549663,3.3227337322738606,37.40286674947558,7.577236854820762,0.7473983643250139,0.699042992736085,3.5915909269515582
hat,0.7,trend,DN,100T,2029.0,3.741384696598062e+28,6.456527322043733,4.946350089101268,2279471082694778.0,127628156250000.03,17.860252389995466,2.766231984958445,0.10365023476769597,-0.0804600101718439,1.1503035323167405,0.7129640606888158,0.8557136847383773,4.232659460750847,174.98243228548893,14.277289288982672,0.8315564794900036,0.7637419194071884,19.477418679888434
