design,variant,spec,M_bin,delta
Llama 3,n_eff >= 6,kappa_full,M>=256,-0.37837
Llama 3,n_eff >= 6,chin_M100,"256-1,024",-0.895561
Llama 3,n_eff >= 6,chin_M100,">=1,024",
Llama 3,n_eff >= 6,chin_M100,M>=256,-0.895561
Llama 3,n_eff >= 6,chin_full,"256-1,024",-0.848013
Llama 3,n_eff >= 6,chin_full,">=1,024",
Llama 3,n_eff >= 6,chin_full,M>=256,-0.848013
Llama 3,n_eff >= 6,kappa_M100,"256-1,024",-0.269384
Llama 3,n_eff >= 6,kappa_M100,">=1,024",
Llama 3,n_eff >= 6,kappa_M100,M>=256,-0.269384
Llama 3,n_eff >= 6,convexity b2,,-0.0276863
Llama 3,n_eff >= 6,"convexity b2, M < 1,024",,-0.0276863
