truth,noise_sd,rho_trunk,statistic,corpus,conv,n_rep,mean,mc_se_of_mean,sd
chin,0.002,0.9,slope,edu,T,150,0.10663276979254438,0.0010015280455627693,0.012266163373578434
chin,0.005,0.0,slope,edu,T,150,0.12257629105788605,0.004495668589966248,0.05506047049037419
chin,0.005,0.5,slope,edu,T,500,0.11488094920561588,0.001867206106744954,0.04175199782684446
chin,0.005,0.9,slope,edu,T,150,0.1045229961763912,0.0025727519424222477,0.031509647468443966
chin,0.0075,0.0,slope,edu,T,150,0.1178267123650573,0.008175872636766364,0.10013358081030434
chin,0.0075,0.5,slope,edu,T,500,0.11583142785817634,0.002933294368615457,0.06559045606241488
chin,0.0075,0.9,slope,edu,T,150,0.11499873869240072,0.003738970620418005,0.04579285091640779
chin,0.01,0.0,slope,edu,T,150,0.12066572510458703,0.009032038507947489,0.11061942840820027
chin,0.01,0.5,slope,edu,T,500,0.10956012878808741,0.003864861006292594,0.08642091933658483
chin,0.01,0.9,slope,edu,T,150,0.11577161937657104,0.004933010961300285,0.060416798753710164
chin,0.015,0.0,slope,edu,T,150,0.12400008223017854,0.015937826504331114,0.19519771272308467
chin,0.015,0.5,slope,edu,T,500,0.0985475787397182,0.006053163276975793,0.13535284566223263
chin,0.015,0.9,slope,edu,T,150,0.10829223178385855,0.008895098586199674,0.10894226373970625
kappa36,0.0,0.5,slope,edu,T,1,-0.0078509324462243,,
kappa36,0.005,0.5,slope,edu,T,150,-0.014434538506424038,0.010598549215688449,0.12980518796105775
kappa60,0.0,0.5,slope,edu,T,1,0.0545117671099258,,
kappa60,0.005,0.5,slope,edu,T,150,0.04083508511254436,0.005547584663636357,0.06794375865399262
chin,0.0,0.5,slope,web,T,1,0.1126622765682228,,
chin,0.002,0.0,slope,web,T,150,0.1157942884174156,0.0014711973648853982,0.018018414274482118
chin,0.002,0.5,slope,web,T,500,0.11519264768439738,0.0007147710686321301,0.015982766978116108
chin,0.002,0.9,slope,web,T,150,0.11263047883177153,0.001065195013320126,0.013045921295957197
