sigma_star,S,obj,kappa,a,lnE,LR,dobj,sample,objective
0.52,1.8461538461538458,9.950568085780379e-05,0.35549348086122917,0.47308992586192844,0.5549179010270386,,9.26461816415456e-08,on-path band |dlnN|<=0.15,huber
0.53,1.773584905660377,9.955132274955043e-05,0.36987257128302575,0.4708769135410954,0.5543763473491584,,1.38288073388187e-07,on-path band |dlnN|<=0.15,huber
0.54,1.7037037037037033,9.959624923193827e-05,0.3849137762072549,0.4685501889351438,0.5538614822553781,,1.8321455577602677e-07,on-path band |dlnN|<=0.15,huber
0.55,1.6363636363636362,9.964037589554198e-05,0.40061579415045223,0.46613844167592533,0.5533074471285676,,2.273412193797334e-07,on-path band |dlnN|<=0.15,huber
0.56,1.5714285714285712,9.968353412826895e-05,0.4170104174003616,0.463630284066186,0.5526971034112553,,2.7049945210670277e-07,on-path band |dlnN|<=0.15,huber
0.57,1.5087719298245617,9.972563356074508e-05,0.43417152824688,0.46100601209011083,0.5520490545297349,,3.1259888458284163e-07,on-path band |dlnN|<=0.15,huber
0.58,1.4482758620689657,9.976663394726482e-05,0.45215613177578196,0.45825424209473165,0.5513593936874085,,3.535992711025781e-07,on-path band |dlnN|<=0.15,huber
0.59,1.3898305084745766,9.980649816606837e-05,0.47102953028344396,0.4553636205779087,0.5506254833893384,,3.93463489906131e-07,on-path band |dlnN|<=0.15,huber
0.6,1.3333333333333335,9.984519141596767e-05,0.49086093898085376,0.4523289823263108,0.5498430858741352,,4.3215673980543236e-07,on-path band |dlnN|<=0.15,huber
0.61,1.278688524590164,9.98826803931022e-05,0.5117342993424862,0.44913665530452707,0.549011439371346,,4.6964571693995834e-07,on-path band |dlnN|<=0.15,huber
0.62,1.2258064516129035,9.991893244893397e-05,0.5337350617619568,0.445774499420585,0.5481233839727516,,5.058977727717288e-07,on-path band |dlnN|<=0.15,huber
0.63,1.1746031746031744,9.995391499001397e-05,0.5569648607450991,0.44222979047281685,0.5471751304378571,,5.408803138517266e-07,on-path band |dlnN|<=0.15,huber
0.64,1.125,9.998759485836998e-05,0.5815423297329736,0.43849272714507526,0.5461670911100552,,5.745601822077341e-07,on-path band |dlnN|<=0.15,huber
0.65,1.0769230769230766,0.00010001993716759237,0.6075917078183808,0.4345378582012611,0.5450867079464837,,6.069024914301266e-07,on-path band |dlnN|<=0.15,huber
0.66,1.0303030303030303,0.00010005090526904678,0.6352613812031996,0.43034687002031824,0.5439280184293586,,6.378705928845407e-07,on-path band |dlnN|<=0.15,huber
0.67,0.9850746268656714,0.00010008045965646082,0.6647322287111687,0.42588702937860934,0.5426859861821232,,6.674249802985776e-07,on-path band |dlnN|<=0.15,huber
0.68,0.9411764705882351,0.00010010855978001787,0.6961697279470069,0.4211981375828039,0.5413608393015173,,6.955251038556266e-07,on-path band |dlnN|<=0.15,huber
0.69,0.8985507246376816,0.00010013515666531882,0.7298275582312022,0.4161859042154761,0.5399310522988375,,7.221219891565803e-07,on-path band |dlnN|<=0.15,huber
0.7,0.8571428571428572,0.00010016019917707367,0.7659711567315992,0.41083981965154936,0.5383941498476648,,7.471645009114259e-07,on-path band |dlnN|<=0.15,huber
0.71,0.8169014084507045,0.00010018363239048523,0.8048928521910214,0.40515237272360805,0.5367374937149334,,7.705977143229904e-07,on-path band |dlnN|<=0.15,huber
0.72,0.7777777777777777,0.0001002053891505079,0.8469760171251194,0.39905017488466477,0.5349398637859076,,7.923544743456573e-07,on-path band |dlnN|<=0.15,huber
0.73,0.7397260273972601,0.00010022540040099302,0.8926755498844458,0.39251655259998774,0.5330039348315925,,8.123657248307824e-07,on-path band |dlnN|<=0.15,huber
0.74,0.7027027027027026,0.00010024358870177665,0.9425010023028183,0.3855263276276104,0.5309093023325775,,8.305540256144111e-07,on-path band |dlnN|<=0.15,huber
0.75,0.6666666666666665,0.00010025985012664648,0.9971857982210542,0.3778971471768633,0.5286003712961194,,8.468154504842352e-07,on-path band |dlnN|<=0.15,huber
0.76,0.6315789473684212,0.00010027409064550026,1.0574158852909255,0.3696447658923965,0.5260281011181258,,8.610559693380144e-07,on-path band |dlnN|<=0.15,huber
0.77,0.5974025974025974,0.00010028623218664499,1.1241850574135455,0.3610314831486158,0.5234009426751591,,8.731975104827444e-07,on-path band |dlnN|<=0.15,huber
0.78,0.5641025641025639,0.00010029607251211073,1.1989573302764096,0.35106131679526675,0.5201184910038307,,8.830378359484838e-07,on-path band |dlnN|<=0.15,huber
0.79,0.5316455696202529,0.00010030350892944643,1.2840135300225493,0.3404341912458685,0.5168769301045937,,8.904742532841862e-07,on-path band |dlnN|<=0.15,huber
0.8,0.5,0.00010030844264376606,1.3792710698469288,0.32982473877146923,0.5135583730998723,,8.954079676038156e-07,on-path band |dlnN|<=0.15,huber
0.81,0.46913580246913567,0.0001003104521652161,1.4907864568730136,0.3166676589733124,0.5090570741904844,,8.974174890538547e-07,on-path band |dlnN|<=0.15,huber
0.82,0.4390243902439024,0.00010030952798889794,1.6220468744076426,0.3022466481393108,0.5042511328711966,,8.96493312735699e-07,on-path band |dlnN|<=0.15,huber
0.83,0.4096385542168677,0.00010030536398288045,1.777477577359461,0.2869631225742112,0.4991479129069416,,8.923293067182104e-07,on-path band |dlnN|<=0.15,huber
0.84,0.38095238095238093,0.00010029840944084132,1.959487636562868,0.2725918561107915,0.4950966078095299,,8.853747646790769e-07,on-path band |dlnN|<=0.15,huber
0.85,0.3529411764705883,0.00010028695716404274,2.190726782927678,0.2543662976881417,0.48910098313732786,,8.739224878804935e-07,on-path band |dlnN|<=0.15,huber
0.86,0.32558139534883734,0.00010027129795699084,2.4861797832617043,0.23441510176457248,0.4828388084233919,,8.582632808286003e-07,on-path band |dlnN|<=0.15,huber
