model,N_nonemb,D,M,w_farseer,w_eq3,Mstar_eq3_ownC,in_farseer_N,above_farseer_N,in_farseer_N_1p5,above_farseer_N_1p5
opt-66b,65536693248.0,300000000000.0,4.545454545454546,0.6527905899869657,0.09110803332368114,87.09147651950514,False,True,False,True
xglm-564M,301847808.0,500000000000.0,886.5248226950355,3.4628741093004676,5.731059704282301,27.97277388571255,True,False,True,False
xglm-1.7B,1175695616.0,500000000000.0,294.11764705882354,2.3647223020096675,3.0503670821331967,34.28634690748951,True,False,True,False
xglm-4.5B,4552511488.0,500000000000.0,98.48692814676104,1.6174808668945624,1.5137088039031277,46.05151567155951,True,False,True,False
xglm-7.5B,6451391232.0,500000000000.0,66.66666666666667,1.466782873121555,1.2355122390433788,50.373960546994056,False,True,True,False
open_llama_3b_v2,2795200000.0,1000000000000.0,333.3333333333333,2.301906073193346,2.5239231014036925,48.51911329778983,True,False,True,False
open_llama_7b_v2,6737856000.0,1000000000000.0,142.85714285714286,1.7984299663118863,1.5383039674278414,61.95382267774703,False,True,True,False
open_llama_7b,6737856000.0,1000000000000.0,142.85714285714286,1.7984299663118863,1.5383039674278414,61.95382267774703,False,True,True,False
open_llama_3b,2795200000.0,1000000000000.0,333.3333333333333,2.301906073193346,2.5239231014036925,48.51911329778983,True,False,True,False
open_llama_13b,12672320000.0,1000000000000.0,76.92307692307692,1.5063771759660187,1.0248056790180484,75.32265746636818,False,True,False,True
deepseek-llm-67b-base,65322278400.0,2000000000000.0,29.850746268656717,1.1802056469308038,0.2736932521451547,176.63493701282502,False,True,False,True
deepseek-llm-7b-base,6161139200.0,2000000000000.0,285.7142857142857,2.28884362956114,2.0531612428331982,74.64753162923544,True,False,True,False
stablelm-base-alpha-3b,2584763904.0,1500000000000.0,500.0,2.6699625810972725,3.0267310088170243,52.93002352604766,True,False,True,False
stablelm-base-alpha-7b-v2,6476275712.0,1100000000000.0,159.66523353939925,1.8733476792963886,1.6280052082647811,62.98963619338293,False,True,True,False
stablelm-2-1_6b,1233473536.0,2000000000000.0,1216.1637936402378,3.593991486226568,4.914557116426642,46.992254466159416,True,False,True,False
stablelm-base-alpha-7b,6380291584.0,1500000000000.0,214.28571428571428,2.07213757563535,1.8260694969759057,68.92047016046597,False,True,True,False
rwkv-4-169m-pile,91774528.0,330000000000.0,1952.6627218934912,4.248626779141043,8.009617220337976,25.17032213224765,False,False,False,False
rwkv-4-430m-pile,327032704.0,330000000000.0,767.4418604651163,2.9746180578868975,4.665391010992993,27.01930211465255,True,False,True,False
rwkv-4-1b5-pile,1294065408.0,330000000000.0,220.0,2.022323889393819,2.4928696002384023,32.40053300795544,True,False,True,False
rwkv-4-7b-pile,6588130816.0,330000000000.0,47.142857142857146,1.2810569537740433,1.0480388608647275,45.52891160303562,False,True,True,False
rwkv-4-14b-pile,13485163520.0,330000000000.0,23.571428571428573,1.047843349626568,0.6496523936746275,54.98259552046907,False,True,False,True
rwkv-4-3b-pile,2742581760.0,330000000000.0,110.0,1.6380983247264789,1.7134737520708583,37.30958091981033,True,False,True,False
RedPajama-INCITE-Base-7B-v0.1,6586861056.0,1000000000000.0,142.85714285714286,1.8099012389900861,1.5593750003753175,61.53959778830955,False,True,True,False
RedPajama-INCITE-Base-3B-v1,2741788160.0,800000000000.0,266.6666666666667,2.158910309510557,2.3580869339036403,45.628929040227185,True,False,True,False
Amber,6476271616.0,1259000000000.0,186.83917284807623,1.9538553347882475,1.7052385674257515,65.606773418759,False,True,True,False
codegen-6B-nl,5580569600.0,360000000000.0,60.0,1.3790108923265445,1.1950291049180308,44.65409795728966,True,False,True,False
codegen-16B-nl,15370854400.0,360000000000.0,22.5,1.037833756878387,0.6086009781726025,58.48780777187376,False,True,False,True
SmolLM-135M,106203456.0,600000000000.0,4460.468827389134,4.913357476151451,9.867667713708808,25.926218921997204,True,False,True,False
SmolLM-360M,314635200.0,600000000000.0,1658.277991069178,3.6229290212108287,6.057111407315641,28.728755725345707,True,False,True,False
SmolLM-1.7B,1610713088.0,1000000000000.0,584.3249967389991,2.6868638992378098,3.3588887871593243,42.35864835627004,True,False,True,False
h2o-danube-1.8b-base,1667361280.0,1000000000000.0,546.0896139172642,2.6609360846232892,3.300483486820743,42.703449877670614,True,False,True,False
h2o-danube2-1.8b-base,1667361280.0,3000000000000.0,1638.2688417517925,3.747460256912958,4.832060902717482,56.822397123216106,True,False,True,False
h2o-danube3-500m-base,415286784.0,4000000000000.0,7788.301746473706,6.053809119590661,11.067041260037733,42.6659545074752,True,False,True,False
h2o-danube3-4b-base,3716079360.0,6000000000000.0,1514.4480769659474,3.7146423113846545,3.917635652058019,90.91298330475755,True,False,True,False
OLMo-1B-hf,1073741824.0,3000000000000.0,2549.3632873412785,4.239896240559925,6.084217032257821,50.355450058276524,True,False,True,False
OLMo-7B-hf,6476005376.0,2500000000000.0,362.94501309417336,2.41962041459184,2.1461817831078784,81.60029909282066,False,True,True,False
OLMo-7B-0424-hf,6476005376.0,2050000000000.0,297.61491073722215,2.2744999233127627,2.0099152364755644,76.46271037394926,False,True,True,False
TinyLlama_v1.1,968928000.0,2000000000000.0,1818.1818181818185,3.845808331405227,5.558945460819899,44.26443295153738,True,False,True,False
pythia-70m,18915376.0,299892736000.0,4258.22671274315,6.422719391005647,14.311380704772459,26.933285227886746,False,False,False,False
pythia-160m,85056096.0,299892736000.0,1847.505665246289,4.212711775677607,7.906840760476695,25.12376116306729,False,False,False,False
pythia-410m,302311616.0,299892736000.0,739.8653508168745,2.9516065758808248,4.640540146366092,26.604572129494738,True,False,True,False
pythia-1b,805736960.0,299892736000.0,296.4005025967329,2.241944527100613,3.001197098274895,29.681010590291,True,False,True,False
pythia-1.4b,1208603008.0,299892736000.0,211.99103614306955,2.00090159703697,2.4838590101099607,31.53760246143679,True,False,True,False
