tech,sigma_star,spec,w,r,r_obs,life_penalty,train_penalty,ratio_proc,ratio_eff,N_ratio,shadow_life_rel,C,U,N_w,D_w,Phi,loss,D_ratio,epochs,N_c,D_c,mN_c,w_true_c,s_true_c,w_hat_proc,w_hat_eff,s_hat_proc,ratio_proc_vs_w,mu_eff,mu_eta,shadow_life,elas_life_U
kq,0.7005534249155089,D15,1.5,5.6569,9.089933615814576,0.1667543689356139,0.12100318437212598,0.8292646646881479,0.7636057965792635,1.2582567380625898,2.5070671249165226,1e+26,3296265655696.386,556244631583.7224,29962835990369.656,89888507971108.97,1.8392675989597174,0.890917688307554,8.098382643870648,699898555701.3616,26694420575678.516,0.5612190739526487,1.5612190739526488,0.3594749022196934,1.294663811866084,1.1921559346003525,0.22759870876545604,0.8631092079107227,0.30957622961967446,0.309576226794688,10528155958652.635,0.19829138345528463
kq,0.7005534249155089,D15,1.5,6.7272,10.809772387757926,0.21174836647936002,0.1577457155308637,0.8027499179795508,0.7265146604091938,1.3197536683763524,3.569657961620316,1e+26,2771828574698.0747,556244631583.7224,29962835990369.656,89888507971108.97,1.8392675989597174,0.8772437942568468,9.482805744489658,734105893047.2704,26284711930887.484,0.5699669844043442,1.5699669844043442,0.36304393026493703,1.26029086796119,1.1406040305281682,0.20653237643645728,0.8401939119741266,0.37643471562813535,0.37643472005621725,15723041674731.484,0.23977242858919112
kq,0.7005534249155089,D15,1.5,8.0,12.855003434127633,0.26850854823703174,0.20413086049076257,0.772531137712994,0.6855583218021963,1.39726392372957,5.081164222114421,1e+26,2330830648463.611,556244631583.7224,29962835990369.656,89888507971108.97,1.8392675989597174,0.8617776785338466,11.078155017007138,777220556480.1812,25821303242071.15,0.580196044124346,1.5801960441243459,0.3671671285861606,1.2207506477769534,1.083316548128356,0.18083189075422662,0.8138337651846356,0.45866510287731477,0.4586650998376103,23695111705673.742,0.29025841521956863
kq,0.7005534249155089,D15,1.5,9.5137,15.287330771407508,0.34086019988990857,0.26324165990677195,0.7382864455977669,0.6408213325606898,1.4960972798561818,7.234894308509176,1e+26,1959978261634.158,556244631583.7224,29962835990369.656,89888507971108.97,1.8392675989597174,0.844357968506036,12.907979554025454,832196080247.0111,25299359327508.062,0.5921659043316362,1.5921659043316363,0.3719247489979489,1.175474506310958,1.020293876471495,0.14927972097128428,0.783649670873972,0.5604973636006314,0.560497890537861,36125104107256.48,0.35203478648071496
kq,0.7005534249155089,D15,1.5,11.3137,18.179706544086226,0.43428958792979633,0.33950264947649433,0.6997832718994375,0.5925690142815621,1.6238634648364008,10.310891049603478,1e+26,1648147395432.8723,556244631583.7224,29962835990369.656,89888507971108.97,1.8392675989597174,0.8248862533596352,14.996190018328926,903265334740.1907,24715931520125.258,0.6061441780167589,1.606144178016759,0.37739088826086337,1.1239528280348001,0.9517512723614606,0.11028294510502558,0.7493018853565334,0.6875671455963863,0.6875671386960904,55880822732338.336,0.428085668417566
kq,0.7005534249155089,D15,1.5,13.4543,21.61938408797293,0.5569439653473562,0.4394875439843393,0.6569045641672423,0.5412485705561673,1.7918568080733897,14.720710863789748,1e+26,1385924588251.2568,556244631583.7224,29962835990369.656,89888507971108.97,1.8392675989597174,0.8033496524379541,17.36792469299569,996710730057.5674,24070633878918.887,0.6223939955443212,1.6223939955443212,0.3836269101424435,1.0657580205505932,0.8781184309672727,0.0617007043649751,0.7105053470337288,0.8475799372041508,0.8475799326976066,88033742832085.45,0.522425594684961
kq,0.7005534249155089,D15,1.5,16.0,25.710006868255267,0.7213365127170661,0.573291154106208,0.6096878408236666,0.487495057609213,2.0174272299387823,21.0785870910007,1e+26,1165415324231.8054,556244631583.7224,29962835990369.656,89888507971108.97,1.8392675989597174,0.7798502621350802,20.049955595703583,1122183066264.2676,23366525501400.19,0.6411487233858152,1.641148723385815,0.3906707017162201,1.0005884216316143,0.8000518914522543,0.0005880755952130742,0.6670589477544095,1.0513028478775315,1.0513028417975359,141924200965785.44,0.6405897994810061
kq,0.7005534249155089,D15,1.5,19.0273,30.574500855272092,0.9475321155338534,0.7570939733949367,0.55835126230661,0.43210863955580914,2.3284083998116873,30.322697727543012,1e+26,979994281254.2445,556244631583.7224,29962835990369.656,89888507971108.97,1.8392675989597174,0.7546330676083471,23.07252937100801,1295164672529.6968,22610946837658.44,0.6625736685309143,1.6625736685309143,0.3985228931938869,0.9283001065019675,0.7184124460702042,-0.07723783827647396,0.6188667376679783,1.3142328304936486,1.314232840108731,235637321235061.34,0.7904812012426987
kq,0.7005534249155089,D15,1.5,22.6274,36.35941308817245,1.2695075548746968,1.01828062772567,0.5032921730704167,0.37599937355464724,2.7719614091727496,43.93489231840394,1e+26,824073697716.4362,556244631583.7224,29962835990369.656,89888507971108.97,1.8392675989597174,0.7281056009823729,26.47349231793016,1541888652809.592,21816108705904.37,0.6867135746866817,1.6867135746866817,0.4071311128294223,0.8489097403514307,0.634203247448312,-0.17798153615956988,0.5659398269009538,1.6595788991511746,1.6595789235931422,406456271568950.06,0.9839130388051842
kq,0.7005534249155089,D15,1.5,26.9087,43.23892886348878,1.7487025490428438,1.4063528067758573,0.4450753573581874,0.32012933016262235,3.433402033576818,64.35925349031679,1e+26,692959718890.5033,556244631583.7224,29962835990369.656,89888507971108.97,1.8392675989597174,0.7008654341213251,30.30467064885016,1909811449245.7405,20999916053896.492,0.7134037086974477,1.7134037086974478,0.41636638526934594,0.7625937679473602,0.5485107815634669,-0.31131415182116634,0.5083958452982401,2.1237375203703155,2.1237375739155135,737484235084295.4,1.2394851210366653
kq,0.7005534249155089,D15,1.5,32.0,51.42001373651053,2.506035314200327,2.018757937023679,0.38439144585201246,0.2654410114728181,4.480590068553623,95.87045121576801,1e+26,582707662115.9027,556244631583.7224,29962835990369.656,89888507971108.97,1.8392675989597174,0.6737411570432201,34.64377955001488,2492304171960.2954,20187195788447.89,0.7421247682037113,1.7421247682037113,0.42598829989020204,0.6696578585044266,0.46243136058384193,-0.49329988037972045,0.4464385723362844,2.767315361147208,2.7673154660819566,1433629953196647.8,1.5884722191934486
kq,0.7005534249155089,D15,2.0,0.25,0.5624305757889645,0.0,0.0,1.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,
kq,0.7005534249155089,D15,2.0,0.2973,0.6688424407282366,0.0,0.0,1.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,
kq,0.7005534249155089,D15,2.0,0.3536,0.7955018063959114,0.0,0.0,1.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,
kq,0.7005534249155089,D15,2.0,0.4204,0.9457832562467227,0.0,0.0,1.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,
kq,0.7005534249155089,D15,2.0,0.5,1.124861151577929,0.00021341605563129917,-0.0028489543088946467,0.9929345172160833,0.9927619582486175,1.0032757864201574,0.008151082349316498,1e+26,37293290375417.77,397300515667.7126,41949773557822.53,251698641346935.2,1.8417459688425668,0.9938952571048227,1.1179941634547725,398601987301.6584,41693680975741.12,1.006142239689281,2.006142239689281,0.501530858472486,1.9919678762326682,1.991621698399198,0.49798387216401235,0.9959839381163341,0.0072908129599884575,0.007290808653558578,19494225738.582157,0.003634244048811297
kq,0.7005534249155089,D15,2.0,0.5946,1.3376848814564732,0.0013161800706644744,-0.005941716726387658,0.9830069754008609,0.9819558738313506,1.0085740768677163,0.02422713089696392,1e+26,31359981815857.527,397300515667.7126,41949773557822.53,251698641346935.2,1.8417459688425668,0.9856076078822243,1.3184323961125315,400707000828.63086,41346015967526.45,1.0146025578563669,2.014602557856367,0.503624178327239,1.980368367033225,1.978250815122723,0.4950434390657873,0.9901841835166125,0.01837569961086505,0.018375709640585436,58247885762.43042,0.009121259346045463
kq,0.7005534249155089,D15,2.0,0.7071,1.590778640561507,0.00339791610772755,-0.007793504661433692,0.9733936011072359,0.9707181546466721,1.0145893368768886,0.04692743234257882,1e+26,26370591412401.2,397300515667.7126,41949773557822.53,251698641346935.2,1.8417459688425668,0.9779390136237573,1.555684494644462,403096866732.1504,41024320174876.945,1.02255865250175,2.02255865250175,0.5055767610184868,1.968745650209277,1.9633344028211586,0.4920623698171979,0.9843728251046385,0.030165136206797394,0.030165133642000796,113497805646.471,0.014914345833005882
