corpus,conv,sample,scheme,statistic,estimate,pop,se,ci_lo,ci_hi,p_zero,n_draws,n_restricted,n_all
edu,P,main,cr2,n_eval|kappa_f|local,11.0,11.0,0.0,11.0,11.0,,999,33,44
edu,P,main,cr2,slope|kappa_f|chin_f,0.11979638674318017,0.12700666858581527,0.010914060061154456,0.11028978986834735,0.1523498660470158,0.001,999,33,44
edu,P,main,cr2,level100|kappa_f|chin_f,0.21245059314178447,0.21090124142904057,0.01948787428548632,0.20047524194481411,0.2737963491209695,,999,33,44
edu,P,main,cr2,mean|kappa_f|chin_f,0.35258527594675826,0.35947032352118363,0.031456628295682236,0.330636984782161,0.4523601075781437,,999,33,44
edu,P,main,cr2,bin0|kappa_f|chin_f,0.28322587980144037,0.2861997494258307,0.025627855684533837,0.2662548069690178,0.3649473978404023,,999,33,44
edu,P,main,cr2,bin1|kappa_f|chin_f,0.417001792680173,0.4274815806953191,0.036938806043149176,0.39027492324956614,0.5342554298000832,,999,33,44
edu,P,main,cr2,bin2|kappa_f|chin_f,0.5309266457219564,0.5479060756807832,0.046855900483092544,0.4950979530886831,0.6777811570082678,,999,33,44
edu,P,main,cr2,n_eval|kappa_f|chin_f,11.0,11.0,0.0,11.0,11.0,,999,33,44
edu,P,no25,wild,slope|chin_r|local,-0.25453696165080797,-0.21260376236542888,0.03345184526869317,-0.28831878826198987,-0.18953818144883022,0.001,999,25,36
edu,P,no25,wild,level100|chin_r|local,-0.40416249333390714,-0.369643010309132,0.04145269918705525,-0.47768921065047043,-0.3276128002876838,,999,25,36
edu,P,no25,wild,mean|chin_r|local,-0.7019131797510698,-0.6183413359614248,0.049561876140442614,-0.778055335652361,-0.6006879372424522,,999,25,36
edu,P,no25,wild,bin0|chin_r|local,-0.6181869296699214,-0.5528332756199098,0.04209790662035648,-0.6831731287903956,-0.5393917202283836,,999,25,36
edu,P,no25,wild,bin1|chin_r|local,-0.4382479372222632,-0.38575683857470294,0.04681794540545819,-0.4991881658250526,-0.34223499549415526,,999,25,36
edu,P,no25,wild,bin2|chin_r|local,-1.2586202975638958,-1.0802040445434486,0.11004633236428453,-1.4127353120451616,-1.040967466669515,,999,25,36
edu,P,no25,wild,n_eval|chin_r|local,11.0,11.0,0.0,11.0,11.0,,999,25,36
edu,P,no25,wild,slope|chin_r|chin_f,-0.0741162527976415,-0.05545184348257234,0.01508822593321892,-0.09687581042842448,-0.045874452185514565,0.001,999,25,36
edu,P,no25,wild,level100|chin_r|chin_f,-0.24843829986654897,-0.2201298856203022,0.028219436507106527,-0.2900776039206513,-0.1963974799519502,,999,25,36
edu,P,no25,wild,mean|chin_r|chin_f,-0.33513755565259234,-0.28499600311047524,0.045632297833278504,-0.403194979360411,-0.25120330527872786,,999,25,36
edu,P,no25,wild,bin0|chin_r|chin_f,-0.2928297631420888,-0.25446751757842273,0.03646025947798311,-0.34788033350145586,-0.2254858548619716,,999,25,36
edu,P,no25,wild,bin1|chin_r|chin_f,-0.374343852288729,-0.3131231481850296,0.05425982926631468,-0.45505536888937026,-0.2751096110952503,,999,25,36
edu,P,no25,wild,bin2|chin_r|chin_f,-0.4440085328032181,-0.3637185573981045,0.0692700454783283,-0.547701766413468,-0.31574528843010785,,999,25,36
edu,P,no25,wild,n_eval|chin_r|chin_f,11.0,11.0,0.0,11.0,11.0,,999,25,36
edu,P,no25,wild,slope|kappa_r|local,-0.038434442090398424,0.006781203744113373,0.03417647625376023,-0.0882091073001496,0.020653571713545232,0.31,999,25,36
edu,P,no25,wild,level100|kappa_r|local,0.10918038174765622,0.14014802633811013,0.04015873183674986,0.026920929126358892,0.184661649037766,,999,25,36
edu,P,no25,wild,mean|kappa_r|local,0.0642207757232221,0.1480805012778964,0.04767979193904748,-0.03147822061211972,0.14969205206229694,,999,25,36
edu,P,no25,wild,bin0|kappa_r|local,0.0218036163491229,0.08652012063787984,0.04051966560950523,-0.06007563463663837,0.09693356639179393,,999,25,36
edu,P,no25,wild,bin1|kappa_r|local,0.4451865746666746,0.49868502788315344,0.04625708660732637,0.3505305959825409,0.5306208026983086,,999,25,36
edu,P,no25,wild,bin2|kappa_r|local,-0.16828496541088322,0.012937306912697455,0.10813764814189636,-0.3524042713536675,0.021911800021353983,,999,25,36
edu,P,no25,wild,n_eval|kappa_r|local,11.0,11.0,0.0,11.0,11.0,,999,25,36
edu,P,no25,wild,slope|kappa_r|chin_f,0.14198626676276815,0.1639331226269699,0.015674414757045868,0.11000387653173596,0.1702140725470731,0.001,999,25,36
edu,P,no25,wild,level100|kappa_r|chin_f,0.2649045752150143,0.28966115102694007,0.024420444719477487,0.21658481733654011,0.3085449527178451,,999,25,36
edu,P,no25,wild,mean|kappa_r|chin_f,0.4309963998216995,0.48142583412884593,0.04101317289087205,0.3465466586185286,0.5068951484003454,,999,25,36
edu,P,no25,wild,bin0|kappa_r|chin_f,0.3471607828769555,0.384885878679367,0.03234325148493003,0.28098148764364006,0.4061259599243086,,999,25,36
edu,P,no25,wild,bin1|kappa_r|chin_f,0.5090906596002087,0.5713187182728268,0.04925740276852741,0.4069678010975929,0.6004419585626533,,999,25,36
edu,P,no25,wild,bin2|kappa_r|chin_f,0.6463267993497945,0.7294227940580416,0.06393626259281358,0.5135995232849729,0.7652908991345736,,999,25,36
edu,P,no25,wild,n_eval|kappa_r|chin_f,11.0,11.0,0.0,11.0,11.0,,999,25,36
edu,P,no25,wild,slope|chin_f|local,-0.18042070885316655,-0.1571519188828565,0.0362263699928453,-0.23295906154754026,-0.11724102571015654,0.001,999,25,36
edu,P,no25,wild,level100|chin_f|local,-0.15572419346735816,-0.14951312468882996,0.020392663021691695,-0.1978116378884039,-0.11916930622854532,,999,25,36
edu,P,no25,wild,mean|chin_f|local,-0.3667756240984774,-0.3333453328509495,0.028968851650427112,-0.4106234725269996,-0.3153612802639468,,999,25,36
edu,P,no25,wild,bin0|chin_f|local,-0.32535716652783264,-0.2983657580414871,0.017558778270443644,-0.35519270607575437,-0.29280928478198986,,999,25,36
edu,P,no25,wild,bin1|chin_f|local,-0.06390408493353417,-0.07263369038967332,0.020503687155195738,-0.10014975544944384,-0.02528608458026299,,999,25,36
edu,P,no25,wild,bin2|chin_f|local,-0.8146117647606778,-0.7164854871453441,0.10375675847419716,-0.9560662211711067,-0.6391731782754146,,999,25,36
edu,P,no25,wild,n_eval|chin_f|local,11.0,11.0,0.0,11.0,11.0,,999,25,36
edu,P,no25,wild,slope|kappa_f|local,-0.06766887429846934,-0.036249911771773294,0.03433124007294416,-0.11412411982157913,-0.007813302046065285,0.003,999,25,36
edu,P,no25,wild,level100|kappa_f|local,0.0516849041005585,0.04790629669298473,0.020516067901040123,0.008774801364346246,0.08682246224875223,,999,25,36
edu,P,no25,wild,mean|kappa_f|local,-0.02747237679402149,0.005502097151174042,0.026764407971969262,-0.07243296184509199,0.023499003834544247,,999,25,36
edu,P,no25,wild,bin0|kappa_f|local,-0.05311437237837784,-0.03115710846259458,0.016037800983841742,-0.08476724970790116,-0.02372234422573549,,999,25,36
edu,P,no25,wild,bin1|kappa_f|local,0.3379353394999181,0.3329818664507325,0.022551436245795375,0.29598149139323243,0.3819669604406385,,999,25,36
edu,P,no25,wild,bin2|kappa_f|local,-0.3031331085427139,-0.1936704525001942,0.09839700564038581,-0.4334989464485063,-0.13782032978356268,,999,25,36
edu,P,no25,wild,n_eval|kappa_f|local,11.0,11.0,0.0,11.0,11.0,,999,25,36
edu,P,no25,wild,slope|kappa_f|chin_f,0.11275183455469717,0.12090200711108322,0.009199680913936761,0.09839704811233553,0.12841137508572203,0.001,999,25,36
