scenario,scenario_label,estimator,estimator_label,param,truth,R,fail_share,mean,median,bias,mc_se_bias,median_bias,sd,rmse,mae
funding_all,(b) + selection + ME in D,E4_mundlak,Mundlak (CRE),lnMstar,2.8979598554678856,400,0.0,2.759414427205992,2.7538829826752496,-0.13854542826189398,0.03641491685054071,-0.14407687279263626,0.7282983370108143,0.7404642173770164,0.46509874307087573
funding_all,(b) + selection + ME in D,E4_mundlak,Mundlak (CRE),sd_omega,0.25,400,0.0,0.23494902418394006,0.23482759742425335,-0.015050975816059955,0.0009798010378075644,-0.015172402575746632,0.019596020756151286,0.0246895907705544,0.01764167076782823
funding_all,(b) + selection + ME in D,E4_mundlak,Mundlak (CRE),tfp_growth,0.15,400,0.0,0.14870723957367196,0.1481245404680609,-0.0012927604263280178,0.0005011562173270083,-0.0018754595319390999,0.010023124346540166,0.01009371555136762,0.007267223645860785
funding_all,(b) + selection + ME in D,E5_labgen_fe,Lab x generation FE,alpha,0.3478,400,0.0,0.34570981672485573,0.34376369397207407,-0.0020901832751442236,0.0008586600705328811,-0.004036306027925929,0.01717320141065762,0.017278611509550703,0.012769923609980832
funding_all,(b) + selection + ME in D,E5_labgen_fe,Lab x generation FE,beta,0.3658,400,0.0,0.3680207160989295,0.3660361315442556,0.0022207160989294373,0.001677641523864069,0.0002361315442556411,0.03355283047728138,0.03358436439694271,0.02381553079000634
funding_all,(b) + selection + ME in D,E5_labgen_fe,Lab x generation FE,a,0.5126121076233184,400,0.0,0.5148383805260415,0.5165028695176741,0.002226272902723078,0.0017232686425927627,0.00389076189435561,0.034465372851855254,0.034494181567914554,0.025971859218618776
funding_all,(b) + selection + ME in D,E5_labgen_fe,Lab x generation FE,gamma,0.17828649103139016,400,0.0,0.17740577844178212,0.1775745635003797,-0.000880712589608073,0.0001808979626098547,-0.0007119275310104589,0.003617959252197094,0.0037192149364047673,0.0026516051438982974
funding_all,(b) + selection + ME in D,E5_labgen_fe,Lab x generation FE,sigma_star,0.7370283018867925,400,0.0,0.7370254261326293,0.7377008338208502,-2.875754163160493e-06,0.0002446777571310079,0.0006725319340576963,0.004893555142620158,0.00488743521685879,0.0034013781028037204
funding_all,(b) + selection + ME in D,E5_labgen_fe,Lab x generation FE,lnMstar,2.8979598554678856,400,0.0,2.531390682920056,2.5254930733208854,-0.3665691725478299,0.023477184161184467,-0.372466782147,0.46954368322368933,0.5952252099344675,0.43004275875952236
funding_all,(b) + selection + ME in D,E5_labgen_fe,Lab x generation FE,sd_omega,0.25,400,0.0,0.23749311661305114,0.2373274631566325,-0.012506883386948832,0.0009995450409443787,-0.012672536843367485,0.01999090081888757,0.02355969348944209,0.0166295148573202
funding_all,(b) + selection + ME in D,E5_labgen_fe,Lab x generation FE,tfp_growth,0.15,400,0.0,0.1557324039783973,0.1553776051723268,0.005732403978397312,0.0004639249233456131,0.005377605172326813,0.009278498466912262,0.010896594093455867,0.007342969303153479
funding_all,(b) + selection + ME in D,E6_acf,ACF/Wooldridge GMM (c predetermined),alpha,0.3478,400,0.0,0.3566146405047009,0.34507110676376507,0.00881464050470089,0.0027249880857539524,-0.0027288932362349583,0.054499761715079045,0.05514069598907878,0.025673633689602515
funding_all,(b) + selection + ME in D,E6_acf,ACF/Wooldridge GMM (c predetermined),beta,0.3658,400,0.0,0.3851907756942674,0.3704983268142169,0.019390775694267413,0.005090301507981636,0.004698326814216919,0.10180603015963273,0.10351115297129715,0.04981627480998313
funding_all,(b) + selection + ME in D,E6_acf,ACF/Wooldridge GMM (c predetermined),a,0.5126121076233184,400,0.0,0.5139414591619629,0.5188917994673555,0.0013293515386444289,0.0044831324233407825,0.006279691844037094,0.08966264846681565,0.08956036639759714,0.052104048612665904
funding_all,(b) + selection + ME in D,E6_acf,ACF/Wooldridge GMM (c predetermined),gamma,0.17828649103139016,400,0.0,0.17871138247748783,0.17929888971146668,0.00042489144609764704,0.0005125509698517099,0.0010123986800765344,0.010251019397034197,0.010247010438300645,0.00526325677884297
funding_all,(b) + selection + ME in D,E6_acf,ACF/Wooldridge GMM (c predetermined),sigma_star,0.7370283018867925,400,0.0,0.7298653508601691,0.7343137413188929,-0.007162951026623404,0.0008439670386810821,-0.002714560567899593,0.016879340773621642,0.018316870147475284,0.005995886439385867
funding_all,(b) + selection + ME in D,E6_acf,ACF/Wooldridge GMM (c predetermined),lnMstar,2.8979598554678856,400,0.0,2.6645514989120613,2.635734187236454,-0.23340835655582437,0.05042310668363158,-0.26222566823143145,1.0084621336726316,1.0338920863774994,0.6836748096623415
funding_all,(b) + selection + ME in D,E6_acf,ACF/Wooldridge GMM (c predetermined),sd_omega,0.25,400,0.0,0.2368539284990152,0.23712122150511872,-0.0131460715009848,0.0009940183110547997,-0.012878778494881296,0.019880366221095992,0.023813023423983504,0.01642843740233048
funding_all,(b) + selection + ME in D,E6_acf,ACF/Wooldridge GMM (c predetermined),tfp_growth,0.15,400,0.0,0.15336185498552696,0.15314502716987616,0.003361854985526945,0.0005035764583401979,0.0031450271698761634,0.010071529166803957,0.010605855903796767,0.006661911486997907
funding_all,(b) + selection + ME in D,E6b_acf_lagonly,ACF GMM (lagged instruments only),alpha,0.3478,400,0.0,0.35707587618465114,0.33546877797163743,0.009275876184651083,0.004028561003667562,-0.012331222028362593,0.08057122007335124,0.0810032967189676,0.041846493456174166
funding_all,(b) + selection + ME in D,E6b_acf_lagonly,ACF GMM (lagged instruments only),beta,0.3658,400,0.0,0.3976342389629868,0.367765537586774,0.0318342389629867,0.007853001032493579,0.0019655375867740077,0.1570600206498716,0.16006123588075374,0.07898661357689934
funding_all,(b) + selection + ME in D,E6b_acf_lagonly,ACF GMM (lagged instruments only),a,0.5126121076233184,400,0.0,0.5158012537317097,0.5239332883843997,0.003189146108391351,0.006258435995619126,0.011321180761081295,0.12516871991238251,0.12505283313981283,0.087687996071452
funding_all,(b) + selection + ME in D,E6b_acf_lagonly,ACF GMM (lagged instruments only),gamma,0.17828649103139016,400,0.0,0.17487366270973945,0.17493011213946136,-0.003412828321650742,0.0006549031596065314,-0.003356378891928788,0.013098063192130627,0.013519532476740679,0.008227467560499177
funding_all,(b) + selection + ME in D,E6b_acf_lagonly,ACF GMM (lagged instruments only),sigma_star,0.7370283018867925,400,0.0,0.7271104220996084,0.7360692681872125,-0.009917879787184192,0.001319402978187702,-0.000959033699579892,0.02638805956375404,0.028159424759650494,0.008952448487141329
funding_all,(b) + selection + ME in D,E6b_acf_lagonly,ACF GMM (lagged instruments only),lnMstar,2.8979598554678856,400,0.0,2.5878625975880127,2.5032387935617915,-0.3100972578798727,0.06790176064626638,-0.39472106190609413,1.3580352129253277,1.3913336407170258,0.941037852894948
funding_all,(b) + selection + ME in D,E6b_acf_lagonly,ACF GMM (lagged instruments only),sd_omega,0.25,400,0.0,0.23851989329184115,0.23799466193228924,-0.011480106708158853,0.0010073914142507737,-0.012005338067710758,0.020147828285015473,0.023167067081779624,0.01665617451544714
funding_all,(b) + selection + ME in D,E6b_acf_lagonly,ACF GMM (lagged instruments only),tfp_growth,0.15,400,0.0,0.15748853713831912,0.1576207555109661,0.007488537138319129,0.0004853230263156355,0.007620755510966096,0.00970646052631271,0.01224981738561761,0.00862442744783766
funding_all,(b) + selection + ME in D,E7_iv_path,IV (compute price) + expansion path,alpha,0.3478,400,0.0,0.2715304767478563,0.2944425556805296,-0.07626952325214371,0.008113712808827299,-0.05335744431947037,0.16227425617654598,0.17912046800747378,0.08749360850409293
funding_all,(b) + selection + ME in D,E7_iv_path,IV (compute price) + expansion path,beta,0.3658,400,0.0,0.283809847490703,0.3087768946277458,-0.08199015250929705,0.008446560906479895,-0.05702310537225416,0.1689312181295979,0.18758677239107427,0.09061060718576694
funding_all,(b) + selection + ME in D,E7_iv_path,IV (compute price) + expansion path,a,0.5126121076233184,400,0.0,0.5108366067338437,0.5109244984504504,-0.0017755008894747403,0.00022130490193023552,-0.001687609172868032,0.00442609803860471,0.004763798001201112,0.003293140399265815
funding_all,(b) + selection + ME in D,E7_iv_path,IV (compute price) + expansion path,gamma,0.17828649103139016,400,0.0,0.13875652539560712,0.15022963178875148,-0.03952996563578304,0.004137508766706574,-0.028056859242638663,0.08275017533413148,0.09161381294434326,0.04413453661793176
funding_all,(b) + selection + ME in D,E7_iv_path,IV (compute price) + expansion path,sigma_star,0.7370283018867925,400,0.0,0.8039777201681075,0.7688482179098128,0.06694941828131491,0.009509802842279697,0.03181991602302037,0.19019605684559393,0.2014108445385199,0.048281574938380256
funding_all,(b) + selection + ME in D,E7_iv_path,IV (compute price) + expansion path,lnMstar,2.8979598554678856,400,0.0,4.1863515158629925,4.186543741848254,1.2883916603951076,0.002799471681201683,1.2885838863803687,0.05598943362403366,1.2896046100303409,1.2885838863803687
funding_all,(b) + selection + ME in D,E7_iv_path,IV (compute price) + expansion path,sd_omega,0.25,400,0.0,0.27307025364600007,0.2556485350898391,0.023070253646000086,0.0036795419697605533,0.005648535089839091,0.07359083939521106,0.07703446772111365,0.023831370444224842
funding_all,(b) + selection + ME in D,E7_iv_path,IV (compute price) + expansion path,tfp_growth,0.15,400,0.0,0.1993959405122738,0.18786546419362787,0.04939594051227383,0.004796599505172352,0.03786546419362789,0.09593199010344705,0.10779563208909225,0.05291524433246528
funding_all,(b) + selection + ME in D,E8_heckman,Heckman selection correction,alpha,0.3478,400,0.0,0.4018828987935463,0.40264597645954975,0.054082898793546316,0.0019742340945718847,0.05484597645954975,0.039484681891437695,0.06693356740620383,0.055076723820015966
funding_all,(b) + selection + ME in D,E8_heckman,Heckman selection correction,beta,0.3658,400,0.0,0.4166357445031782,0.4188557614839119,0.05083574450317819,0.0029987474399786793,0.05305576148391189,0.05997494879957359,0.07856382702296971,0.056552562053422406
funding_all,(b) + selection + ME in D,E8_heckman,Heckman selection correction,a,0.5126121076233184,400,0.0,0.5075240163614172,0.5093197786874014,-0.005088091261901251,0.0026147335419146834,-0.0032923289359170216,0.052294670838293665,0.052476513215720645,0.03271042689302722
funding_all,(b) + selection + ME in D,E8_heckman,Heckman selection correction,gamma,0.17828649103139016,400,0.0,0.202347156816027,0.20299811861350706,0.024060665784636857,0.0006934940955093424,0.024711627582116896,0.013869881910186848,0.027763435092618076,0.024935959671149505
funding_all,(b) + selection + ME in D,E8_heckman,Heckman selection correction,sigma_star,0.7370283018867925,400,0.0,0.709857315281372,0.7096566074940257,-0.0271709866054206,0.000686268410225742,-0.027371694392766766,0.01372536820451484,0.0304331608797144,0.027371694392766766
funding_all,(b) + selection + ME in D,E8_heckman,Heckman selection correction,lnMstar,2.8979598554678856,400,0.0,2.9997287352693185,2.9718806938509053,0.10176887980143307,0.037160398998834235,0.07392083838301944,0.7432079799766846,0.7492223375896571,0.48097871288131344
funding_all,(b) + selection + ME in D,E8_heckman,Heckman selection correction,sd_omega,0.25,400,0.0,0.23054809749399127,0.23013242549597385,-0.01945190250600873,0.0009333305779012565,-0.019867574504026153,0.01866661155802513,0.026943418346487155,0.02078016688264185
funding_all,(b) + selection + ME in D,E8_heckman,Heckman selection correction,tfp_growth,0.15,400,0.0,0.12602759563370827,0.12515827540271296,-0.023972404366291736,0.0008419147931469685,-0.024841724597287035,0.01683829586293937,0.029283025085362416,0.025018506734410605
funding_all,(b) + selection + ME in D,E9_foc_system,FOC system (T ignored),alpha,0.3478,400,0.0,0.34249138854323646,0.342274860128994,-0.00530861145676354,0.00019490309890787268,-0.0055251398710060295,0.0038980619781574534,0.006583179745873116,0.0055881397159426305
