family,uid,model,lab,N,D,M,flagship,flag_model,N_f,D_f,w_abs,w_flag_abs,D_varies,n_fam,flag_band_has1,wrel_chin,wrel_chin_lo,wrel_chin_hi,wrel_farseer_emb,wrel_farseer_emb_lo,wrel_farseer_emb_hi,wrel_gadre_rw,wrel_gadre_rw_lo,wrel_gadre_rw_hi,wrel_hoff,wrel_meta_a2,wrel_meta_a2_lo,wrel_meta_a2_hi,TDrel,Trel
Falcon,B:tiiuae/falcon-7b,falcon-7b,TII,7217189760.0,1500000000000.0,207.83712911547445,False,falcon-180B,179522565120.0,3500000000000.0,2.3486648933830963,1.0499606903014174,True,3,True,2.236907452896023,1.9910754687723922,2.452963236358139,3.239311511845016,2.6445781062220455,4.023847152050781,1.599729379365514,1.2763637542268103,2.009209316379821,2.3366955215770755,2.0775424276619834,1.8351531886037182,2.1596299890558637,3.7107223586880687,5566083538032.103
GPT-Neo/J,B:EleutherAI/gpt-neox-20b,gpt-neox-20b,EleutherAI,20554568208.0,472000000000.0,22.96326515953246,True,gpt-neox-20b,20554568208.0,472000000000.0,1.0680192861353355,1.0680192861353355,True,5,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
GPT-Neo/J,B:EleutherAI/gpt-neo-2.7B,gpt-neo-2.7B,EleutherAI,2651307520.0,420000000000.0,158.41240475944488,False,gpt-neox-20b,20554568208.0,472000000000.0,2.0839190598379878,1.0680192861353355,True,5,True,1.951199839638405,1.830973913786841,2.0624064312183115,2.414293624574455,2.111888714569039,2.7699883464093906,1.5250721110759466,1.3162483670389842,1.7425643973510843,1.9375748796974916,1.7744956386500659,1.6172667133116572,1.820985495155675,2.853599518915215,1198511797944.3901
GPT-Neo/J,B:EleutherAI/gpt-neo-1.3B,gpt-neo-1.3B,EleutherAI,1315575808.0,380000000000.0,288.84690467035404,False,gpt-neox-20b,20554568208.0,472000000000.0,2.5622611208133192,1.0680192861353355,True,5,True,2.3990775766652614,2.2015260052614427,2.590238882237809,3.2033067346372084,2.678559520397711,3.8526308866108327,1.7315630625170788,1.4220647100192367,2.0772209705413607,2.3884088966579924,2.126487056074876,1.8825742681656357,2.2008629995775233,4.197232729995784,1594948437398.398
GPT-Neo/J,B:EleutherAI/gpt-neo-125m,gpt-neo-125m,EleutherAI,125198592.0,300000000000.0,2396.1930817880125,False,gpt-neox-20b,20554568208.0,472000000000.0,5.317554954200689,1.0680192861353355,True,5,True,4.9788941297515805,4.242931526765868,5.7506729170728645,8.537344407123141,6.129171708105758,12.02577351103837,2.729392416751654,1.8965909613033478,3.8341639931264258,4.958594032483718,4.003369359399927,3.200585360051164,4.265888221780384,11.936682389254742,3581004716776.4224
GPT-Neo/J,B:EleutherAI/gpt-j-6b,gpt-j-6b,EleutherAI,6050000000.0,402000000000.0,66.44628099173553,False,gpt-neox-20b,20554568208.0,472000000000.0,1.5397716856006656,1.0680192861353355,True,5,True,1.4417077533987082,1.3853808671201373,1.491209319381656,1.6453239376499773,1.5205836275218367,1.7863519940371198,1.253216307049665,1.150104505601799,1.363035131751823,1.4464553063723213,1.376307393821631,1.3060710986597779,1.397026153980521,1.3251232601961245,532699550598.84204
Gemma,B:google/gemma-7b,gemma-7b,Google,8537680896.0,6000000000000.0,702.7669542921273,True,gemma-7b,8537680896.0,6000000000000.0,3.685844575806417,3.685844575806417,True,2,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
Gemma,B:google/gemma-2b,gemma-2b,Google,2506172416.0,3000000000000.0,1197.044537258206,False,gemma-7b,8537680896.0,6000000000000.0,4.374118485517124,3.685844575806417,True,2,False,1.186734382189763,1.1190909200073063,1.2365498743470589,1.3944810296536392,1.2965906377195338,1.50929092498206,1.0746307293995268,0.9647992324186042,1.1938571947994305,1.2439489041857168,1.203015740434424,1.1577880806847216,1.219628267166644,0.5602031465692887,1680609439707.8662
Gemma-2,B:google/gemma-2-27b,gemma-2-27b,Google,27227128320.0,13000000000000.0,477.464969761453,True,gemma-2-27b,27227128320.0,13000000000000.0,3.272680047891173,3.272680047891173,True,3,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
Gemma-2,B:google/gemma-2-9b,gemma-2-9b,Google,9241705984.0,8000000000000.0,865.6410422329228,False,gemma-2-27b,27227128320.0,13000000000000.0,3.985284677926876,3.272680047891173,True,3,False,1.2177434456187912,1.161327958507271,1.2603115622821686,1.3942866392768178,1.305724356912996,1.4976521415086665,1.1049671346096617,1.0078168707288333,1.2039969583083103,1.256311604095689,1.2151012676109096,1.1738285181314325,1.2299274965663811,0.6532303368563737,5225842694850.989
