set,tau,rationale,level,year,n,share_identified,share_identified_cw
"PI-3 own-lab anchors (Meta, Marin, DeepSeek)",1.3,tokenizer,decision,all,49,0.7959183673469388,0.39208320650186607
"PI-3 own-lab anchors (Meta, Marin, DeepSeek)",1.3,tokenizer,decision,2023,16,0.5625,0.05586523139304761
"PI-3 own-lab anchors (Meta, Marin, DeepSeek)",1.3,tokenizer,decision,2024,27,0.8888888888888888,0.28848817211870986
"PI-3 own-lab anchors (Meta, Marin, DeepSeek)",1.3,tokenizer,decision,2025,6,1.0,1.0
"PI-3 own-lab anchors (Meta, Marin, DeepSeek)",1.84,DataDecide tilt (0.26 x reference),model,all,77,0.8311688311688312,0.4105104457156279
"PI-3 own-lab anchors (Meta, Marin, DeepSeek)",1.84,DataDecide tilt (0.26 x reference),model,2023,24,0.625,0.11920581733460503
"PI-3 own-lab anchors (Meta, Marin, DeepSeek)",1.84,DataDecide tilt (0.26 x reference),model,2024,40,0.925,0.39682083140205643
"PI-3 own-lab anchors (Meta, Marin, DeepSeek)",1.84,DataDecide tilt (0.26 x reference),model,2025,13,0.9230769230769231,0.6217493998083929
"PI-3 own-lab anchors (Meta, Marin, DeepSeek)",1.84,DataDecide tilt (0.26 x reference),decision,all,49,0.7551020408163265,0.31639721589655917
"PI-3 own-lab anchors (Meta, Marin, DeepSeek)",1.84,DataDecide tilt (0.26 x reference),decision,2023,16,0.5,0.04257919653673691
"PI-3 own-lab anchors (Meta, Marin, DeepSeek)",1.84,DataDecide tilt (0.26 x reference),decision,2024,27,0.8888888888888888,0.28848817211870986
"PI-3 own-lab anchors (Meta, Marin, DeepSeek)",1.84,DataDecide tilt (0.26 x reference),decision,2025,6,0.8333333333333334,0.5776951653774789
"PI-3 own-lab anchors (Meta, Marin, DeepSeek)",3.4,DataDecide M* factor,model,all,77,0.7012987012987013,0.23161120665633592
"PI-3 own-lab anchors (Meta, Marin, DeepSeek)",3.4,DataDecide M* factor,model,2023,24,0.375,0.05893043959983435
"PI-3 own-lab anchors (Meta, Marin, DeepSeek)",3.4,DataDecide M* factor,model,2024,40,0.875,0.19210574132196373
"PI-3 own-lab anchors (Meta, Marin, DeepSeek)",3.4,DataDecide M* factor,model,2025,13,0.7692307692307693,0.48646881457147517
"PI-3 own-lab anchors (Meta, Marin, DeepSeek)",3.4,DataDecide M* factor,decision,all,49,0.6326530612244898,0.13762439151920589
"PI-3 own-lab anchors (Meta, Marin, DeepSeek)",3.4,DataDecide M* factor,decision,2023,16,0.3125,0.031147342302149033
"PI-3 own-lab anchors (Meta, Marin, DeepSeek)",3.4,DataDecide M* factor,decision,2024,27,0.8518518518518519,0.08157910141232513
"PI-3 own-lab anchors (Meta, Marin, DeepSeek)",3.4,DataDecide M* factor,decision,2025,6,0.5,0.42637120327361794
"PI-3 own-lab anchors (Meta, Marin, DeepSeek)",4.4,both (3.4 x 1.3),model,all,77,0.6753246753246753,0.23050298984615808
"PI-3 own-lab anchors (Meta, Marin, DeepSeek)",4.4,both (3.4 x 1.3),model,2023,24,0.2916666666666667,0.047117376792398226
"PI-3 own-lab anchors (Meta, Marin, DeepSeek)",4.4,both (3.4 x 1.3),model,2024,40,0.875,0.19210574132196373
