item,statistic,reviewer,builder,abs_diff,agree,tol,note
T1.2,[budgets <= 3e20 (common window)] weighted wild p enumerated [designs],0.81893,0.81893,4.11523e-08,True,0.01,
T1.2,[leave out each design's largest budget] weighted slope [studies],-0.0302049,-0.0302048,1.36368e-07,True,0.0005,
T1.2,[leave out each design's largest budget] weighted CR2 p [studies],0.200946,0.200946,1.28232e-07,True,0.01,
T1.2,[leave out each design's largest budget] weighted wild p enumerated [studies],0.285494,0.285494,1.7284e-07,True,0.01,
T1.2,[leave out each design's largest budget] weighted slope [designs],-0.0302049,-0.0302048,1.36368e-07,True,0.0005,
T1.2,[leave out each design's largest budget] weighted CR2 p [designs],0.188914,0.188915,1.00513e-06,True,0.01,
T1.2,[leave out each design's largest budget] weighted wild p enumerated [designs],0.272076,0.272076,4.74623e-07,True,0.01,
T1.2,[IsoFLOP designs only (excl. Farseer path)] weighted slope [studies],-0.0475303,-0.0475297,6.42165e-07,True,0.0005,
T1.2,[IsoFLOP designs only (excl. Farseer path)] weighted CR2 p [studies],0.0430242,0.043024,1.66022e-07,True,0.01,
T1.2,[IsoFLOP designs only (excl. Farseer path)] weighted wild p enumerated [studies],0.0925926,0.0925926,7.40741e-09,True,0.01,
T1.2,[IsoFLOP designs only (excl. Farseer path)] weighted slope [designs],-0.0475303,-0.0475297,6.42165e-07,True,0.0005,
T1.2,[IsoFLOP designs only (excl. Farseer path)] weighted CR2 p [designs],0.0173538,0.0173547,8.78629e-07,True,0.01,
T1.2,[IsoFLOP designs only (excl. Farseer path)] weighted wild p enumerated [designs],0.0221193,0.0221193,4.15638e-08,True,0.01,
T1.2,weighted slope [studies (4; Marin one cluster)],-0.0327799,-0.0327797,2.47171e-07,True,0.0002,
T1.2,weighted CR2 s.e. [studies (4; Marin one cluster)],0.0144004,0.0144001,3.41506e-07,True,0.0005,
T1.2,weighted CR2 df [studies (4; Marin one cluster)],2.78157,2.78156,1.26306e-05,True,0.05,
T1.2,weighted CR2 p [studies (4; Marin one cluster)],0.114221,0.114217,3.78535e-06,True,0.01,
T1.2,weighted wild p enumerated [studies (4; Marin one cluster)],0.0493827,0.0493827,1.60494e-08,True,0.01,
T1.2,pooled line at 1e19 [studies (4; Marin one cluster)]: est,0.712992,0.712991,6.21901e-07,True,0.0005,
T1.2,pooled line at 1e19 [studies (4; Marin one cluster)]: CR2 lo,0.707357,0.707359,1.53978e-06,True,0.003,
T1.2,pooled line at 1e19 [studies (4; Marin one cluster)]: CR2 hi,0.718626,0.718624,1.78359e-06,True,0.003,
T1.2,pooled line at 1e19 [studies (4; Marin one cluster)]: model s.e.,0.0136568,0.0136568,7.9645e-09,True,0.0005,
T1.2,pooled line at 1e20 [studies (4; Marin one cluster)]: est,0.680212,0.680212,3.2527e-07,True,0.0005,
T1.2,pooled line at 1e20 [studies (4; Marin one cluster)]: CR2 lo,0.638216,0.638215,7.3528e-07,True,0.003,
