set,tau,level,year,n,share_gt1,share_gt1_cw,share_lt1,share_lt1_cw
S2(a),8.0,decisions (49),all,49,0.46938775510204084,0.10303337000107163,0.0,0.0
S2(a),8.0,decisions (49),2023,16,0.125,0.01013779009171165,0.0,0.0
S2(a),8.0,decisions (49),2024,27,0.6666666666666666,0.03688903460487899,0.0,0.0
S2(a),8.0,decisions (49),2025,6,0.5,0.42637120327361794,0.0,0.0
S2(a),8.0,decisions (56),all,56,0.48214285714285715,0.10707873849729516,0.0,0.0
S2(a),8.0,decisions (56),2023,19,0.10526315789473684,0.01013779009171165,0.0,0.0
S2(a),8.0,decisions (56),2024,30,0.7,0.04193320966812614,0.0,0.0
S2(a),8.0,decisions (56),2025,7,0.5714285714285714,0.42760337877536403,0.0,0.0
S2(a),10.0,models,all,77,0.4805194805194805,0.14904936935564614,0.0,0.0
S2(a),10.0,models,2023,24,0.08333333333333333,0.01013779009171165,0.0,0.0
S2(a),10.0,models,2024,40,0.625,0.08521004931701341,0.0,0.0
S2(a),10.0,models,2025,13,0.7692307692307693,0.48646881457147517,0.0,0.0
S2(a),10.0,models below 15B,all,59,0.6271186440677966,0.8348048951210865,0.0,0.0
S2(a),10.0,models below 15B,2023,16,0.125,0.07922634842383404,0.0,0.0
S2(a),10.0,models below 15B,2024,33,0.7575757575757576,0.7712140275799798,0.0,0.0
S2(a),10.0,models below 15B,2025,10,1.0,1.0,0.0,0.0
S2(a),10.0,decisions (49),all,49,0.40816326530612246,0.09538322723299875,0.0,0.0
S2(a),10.0,decisions (49),2023,16,0.125,0.01013779009171165,0.0,0.0
S2(a),10.0,decisions (49),2024,27,0.5555555555555556,0.02640820063796071,0.0,0.0
S2(a),10.0,decisions (49),2025,6,0.5,0.42637120327361794,0.0,0.0
S2(a),10.0,decisions (56),all,56,0.42857142857142855,0.0998080447428053,0.0,0.0
S2(a),10.0,decisions (56),2023,19,0.10526315789473684,0.01013779009171165,0.0,0.0
S2(a),10.0,decisions (56),2024,30,0.6,0.03196704678340683,0.0,0.0
S2(a),10.0,decisions (56),2025,7,0.5714285714285714,0.42760337877536403,0.0,0.0
S2(a)+Comma,1.0,models,all,77,0.07792207792207792,0.0024024003451793546,0.0,0.0
S2(a)+Comma,1.0,models,2023,24,0.0,0.0,0.0,0.0
S2(a)+Comma,1.0,models,2024,40,0.125,0.0014372335846381905,0.0,0.0
S2(a)+Comma,1.0,models,2025,13,0.07692307692307693,0.007664249498882077,0.0,0.0
S2(a)+Comma,1.0,models below 15B,all,59,0.1016949152542373,0.013455511934511527,0.0,0.0
S2(a)+Comma,1.0,models below 15B,2023,16,0.0,0.0,0.0,0.0
