model,family,lab,date,N_total,N_active,N,N_src,N_nonemb,D,D_src,D_card_verified,epoch_D,D_vs_epoch,M,moe,distilled,synthetic,code
opt-13b,OPT,Meta,2022-05-02 00:00:00,13000000000.0,13000000000.0,13000000000.0,reported,12742607360.0,300000000000.0,"ObsScaling; fix: ObsScaling 0.18T is the corpus size; OPT models were trained for ~300B tokens (1.67 epochs; OPT logbook, Epoch 3.0e11)",,,,23.076923076923077,False,False,False,False
opt-2.7b,OPT,Meta,2022-06-21 00:00:00,2700000000.0,2700000000.0,2700000000.0,reported,2571303680.0,300000000000.0,"ObsScaling; fix: ObsScaling 0.18T is the corpus size; OPT models were trained for ~300B tokens (1.67 epochs; OPT logbook, Epoch 3.0e11)",,300600000000.0,-0.0008677215312269,111.11111111111111,False,False,False,False
opt-30b,OPT,Meta,2022-06-21 00:00:00,30000000000.0,30000000000.0,30000000000.0,reported,29639650304.0,300000000000.0,"ObsScaling; fix: ObsScaling 0.18T is the corpus size; OPT models were trained for ~300B tokens (1.67 epochs; OPT logbook, Epoch 3.0e11)",,300600000000.0,-0.0008677215312269,10.0,False,False,False,False
opt-125m,OPT,Meta,2022-05-02 00:00:00,125000000.0,125000000.0,125000000.0,reported,86391104.0,300000000000.0,"ObsScaling; fix: ObsScaling 0.18T is the corpus size; OPT models were trained for ~300B tokens (1.67 epochs; OPT logbook, Epoch 3.0e11)",,,,2400.0,False,False,False,False
opt-66b,OPT,Meta,2022-06-21 00:00:00,66000000000.0,66000000000.0,66000000000.0,reported,65536693248.0,300000000000.0,"ObsScaling; fix: ObsScaling 0.18T is the corpus size; OPT models were trained for ~300B tokens (1.67 epochs; OPT logbook, Epoch 3.0e11)",,300600000000.0,-0.0008677215312269,4.545454545454546,False,False,False,False
mpt-30b,MPT,MosaicML,2023-06-22 00:00:00,30000000000.0,30000000000.0,30000000000.0,reported,,1000000000000.0,ObsScaling,,1050000000000.0,-0.021189299069938,33.333333333333336,False,False,False,False
mpt-7b,MPT,MosaicML,2023-05-05 00:00:00,7000000000.0,7000000000.0,7000000000.0,reported,,1000000000000.0,ObsScaling,,,,142.85714285714286,False,False,False,False
xglm-564M,XGLM,Meta,2021-12-20 00:00:00,564000000.0,564000000.0,564000000.0,reported,301847808.0,500000000000.0,ObsScaling,,,,886.5248226950355,False,False,False,False
xglm-1.7B,XGLM,Meta,2021-12-20 00:00:00,1700000000.0,1700000000.0,1700000000.0,reported,1175695616.0,500000000000.0,ObsScaling,,,,294.11764705882354,False,False,False,False
xglm-4.5B,XGLM,Meta,2021-12-20 00:00:00,5076815872.0,5076815872.0,5076815872.0,HF safetensors (float tensors),4552511488.0,500000000000.0,ObsScaling,,,,98.48692814676104,False,False,False,False
