variant,label,budget_C,nwin,nleft,nright,Nstar,Mstar,curv,slope,S,sigma,se_sigma,lo_sigma,hi_sigma,weight,sigma_current,se_current,delta_vs_current
NF_T4|6ND,N_F (T4) if tokens had been set by D = C_b/(6T) (rejected by coords test),1e+20,14,7,7,1.10972e+09,13.5338,0.0845889,-0.139671,0.605628,0.767569,0.0622473,0.676684,0.894337,0.0957039,0.76411,0.0594352,0.00345938
NF_T4|6ND,N_F (T4) if tokens had been set by D = C_b/(6T) (rejected by coords test),3e+20,10,6,4,1.86031e+09,14.4477,0.0986102,-0.115417,0.854382,0.700677,0.0607868,0.596559,0.830484,0.102243,0.711619,0.0731896,-0.0109417
NF_T4|6ND,N_F (T4) if tokens had been set by D = C_b/(6T) (rejected by coords test),6e+20,9,5,4,2.15612e+09,21.5107,0.16328,-0.102739,1.58927,0.557217,0.0468238,0.480459,0.665404,0.0805047,0.564433,0.0539698,-0.00721668
NF_T4|6ND,N_F (T4) if tokens had been set by D = C_b/(6T) (rejected by coords test),1e+21,14,10,4,2.82017e+09,20.9555,0.11627,-0.0943137,1.2328,0.618658,0.0401036,0.550721,0.710665,0.132983,0.616797,0.0381329,0.00186139
NF_T4|6ND,N_F (T4) if tokens had been set by D = C_b/(6T) (rejected by coords test),3e+21,8,3,5,4.25143e+09,27.663,0.11737,-0.0782662,1.49963,0.571489,0.0540906,0.479779,0.685061,0.036134,0.578771,0.0542605,-0.00728209
NF_A|6ND,N_F (A) if tokens had been set by D = C_b/(6T) (rejected by coords test),6e+18,9,2,7,2.43386e+08,16.8814,0.263743,-0.261842,1.00726,0.665057,0.064209,0.577521,0.807551,0.03997,0.670204,0.0659524,-0.00514754
NF_A|6ND,N_F (A) if tokens had been set by D = C_b/(6T) (rejected by coords test),1e+19,14,4,10,3.32173e+08,15.105,0.176083,-0.234347,0.751379,0.726908,0.04553,0.650097,0.820334,0.132839,0.703629,0.062629,0.0232793
NF_A|6ND,N_F (A) if tokens had been set by D = C_b/(6T) (rejected by coords test),3e+19,14,3,11,6.52255e+08,11.7526,0.134279,-0.18621,0.721117,0.734992,0.0426849,0.667638,0.833981,0.161909,0.791017,0.0531528,-0.0560245
NF_A|6ND,N_F (A) if tokens had been set by D = C_b/(6T) (rejected by coords test),6e+19,15,8,7,9.295e+08,11.5745,0.154687,-0.161637,0.957006,0.67636,0.0352634,0.612706,0.779469,0.331457,0.672429,0.0447673,0.00393117
NF_A|6ND,N_F (A) if tokens had been set by D = C_b/(6T) (rejected by coords test),1e+20,15,7,8,1.20565e+09,11.4658,0.116115,-0.14648,0.792703,0.716152,0.0540812,0.633409,0.8293,0.0797887,0.76411,0.0594352,-0.0479576
NF_A|6ND,N_F (A) if tokens had been set by D = C_b/(6T) (rejected by coords test),3e+20,11,7,4,1.98698e+09,12.6643,0.0964631,-0.118913,0.811206,0.711438,0.056583,0.621572,0.85525,0.0866258,0.711619,0.0731896,-0.000180253
NF_A|6ND,N_F (A) if tokens had been set by D = C_b/(6T) (rejected by coords test),6e+20,11,6,5,2.43844e+09,16.818,0.111614,-0.10563,1.05665,0.65431,0.0576622,0.569931,0.818832,0.0503227,0.564433,0.0539698,0.0898769
NF_A|6ND,N_F (A) if tokens had been set by D = C_b/(6T) (rejected by coords test),1e+21,14,10,4,3.01354e+09,18.3525,0.126332,-0.0970259,1.30205,0.605685,0.0396015,0.538234,0.690093,0.0902992,0.616797,0.0381329,-0.0111119
NF_A|6ND,N_F (A) if tokens had been set by D = C_b/(6T) (rejected by coords test),3e+21,8,3,5,4.45591e+09,25.1823,0.122657,-0.0825924,1.48509,0.573874,0.0548858,0.480843,0.689635,0.0267877,0.578771,0.0542605,-0.00489719
NF_A|corr|slope,"N_F (A), runs moved to exact A-isocosts (budgets in T4) [first-order correction, point estimate]",6e+18,9,4,5,2.89727e+08,,0.306348,-0.251019,1.22042,0.621037,,,,,0.670204,0.0659524,-0.0491669
NF_A|corr|slope,"N_F (A), runs moved to exact A-isocosts (budgets in T4) [first-order correction, point estimate]",1e+19,15,6,9,3.91513e+08,,0.194484,-0.224557,0.866081,0.697817,,,,,0.703629,0.062629,-0.00581189
NF_A|corr|slope,"N_F (A), runs moved to exact A-isocosts (budgets in T4) [first-order correction, point estimate]",3e+19,15,5,10,7.14949e+08,,0.159393,-0.178504,0.892936,0.691339,,,,,0.791017,0.0531528,-0.0996776
NF_A|corr|slope,"N_F (A), runs moved to exact A-isocosts (budgets in T4) [first-order correction, point estimate]",6e+19,14,8,6,9.83774e+08,,0.185003,-0.155211,1.19195,0.626577,,,,,0.672429,0.0447673,-0.0458515
NF_A|corr|slope,"N_F (A), runs moved to exact A-isocosts (budgets in T4) [first-order correction, point estimate]",1e+20,15,7,8,1.2764e+09,,0.124627,-0.141011,0.883809,0.693527,,,,,0.76411,0.0594352,-0.0705825
NF_A|corr|slope,"N_F (A), runs moved to exact A-isocosts (budgets in T4) [first-order correction, point estimate]",3e+20,10,6,4,2.06975e+09,,0.108414,-0.115259,0.940619,0.680129,,,,,0.711619,0.0731896,-0.0314898
NF_A|corr|slope,"N_F (A), runs moved to exact A-isocosts (budgets in T4) [first-order correction, point estimate]",6e+20,10,5,5,2.46274e+09,,0.111388,-0.103208,1.07926,0.649507,,,,,0.564433,0.0539698,0.0850732
NF_A|corr|slope,"N_F (A), runs moved to exact A-isocosts (budgets in T4) [first-order correction, point estimate]",1e+21,14,10,4,3.0658e+09,,0.13277,-0.0954615,1.39082,0.589827,,,,,0.616797,0.0381329,-0.0269693
