scenario,estimator,param,R,n_fail_v1,n_fail_v2,bias_v1,bias_v2,median_bias_v1,median_bias_v2,max_abs_diff,share_diff_gt_1e4
funding_all,E4_mundlak,lnMstar,100,0,0,-0.03114570538512631,-0.031124411697133533,-0.15082878370874075,-0.15140931928156065,0.0018459455170192207,0.7
funding_all,E4_mundlak,sd_omega,100,0,0,-0.0156160282381068,-0.01561606607671894,-0.014622696857757259,-0.014622251583057147,1.3692882311067134e-06,0.0
funding_all,E4_mundlak,tfp_growth,100,0,0,-0.0009676929085464312,-0.0009675519229672524,-0.0017934971284757767,-0.001793360240716177,2.5162606841488966e-06,0.0
funding_all,E5_labgen_fe,alpha,100,0,0,0.0008417103616188831,0.0008429011315429924,0.000270061379817943,0.00028183109736104606,2.9961487700791434e-05,0.0
funding_all,E5_labgen_fe,beta,100,0,0,-0.0032266058701620965,-0.0032291074960923527,-0.010093032363660548,-0.010132629761699319,6.301754913723423e-05,0.0
funding_all,E5_labgen_fe,a,100,0,0,-0.0036000325014141064,-0.0036025944232089433,-0.005468640395180913,-0.005497786051160247,6.609612569807854e-05,0.0
funding_all,E5_labgen_fe,gamma,100,0,0,-0.001408719153253349,-0.001408982556076206,-0.0020698288992632985,-0.002070884283466551,7.667619642492962e-06,0.0
funding_all,E5_labgen_fe,sigma_star,100,0,0,0.0006790815951369067,0.000679438066675152,0.0019708855539939396,0.0019708865639391226,9.067891197034328e-06,0.0
funding_all,E5_labgen_fe,lnMstar,100,0,0,-0.30844143471929775,-0.30841108743675005,-0.28982104050436686,-0.2896874954215516,0.0006573567332934793,0.21
funding_all,E5_labgen_fe,sd_omega,100,0,0,-0.012723391092550685,-0.012723386534668885,-0.011786668157986041,-0.01178658926153174,3.9074651050907683e-07,0.0
funding_all,E5_labgen_fe,tfp_growth,100,0,0,0.006529805701688706,0.006529812475063439,0.005924494195663418,0.005924488469849901,5.662682288909426e-07,0.0
funding_all,E6_acf,alpha,100,0,0,0.011526094242502926,0.011526089034331879,-0.0033383091622660177,-0.003338604357038588,5.094451096754327e-06,0.0
funding_all,E6_acf,beta,100,0,0,0.02017191028347328,0.020171963784544486,0.01112057228266558,0.011120580626453463,1.2109111539704287e-05,0.0
funding_all,E6_acf,a,100,0,0,0.0015967183857568917,0.0015967611646001063,0.008207015507249837,0.008206993179907751,1.1500409921816335e-05,0.0
funding_all,E6_acf,gamma,100,0,0,0.0011064618883373544,0.0011064711988433777,0.0016732774153064567,0.001672958140203809,1.333272050291212e-06,0.0
funding_all,E6_acf,sigma_star,100,0,0,-0.008169951190054123,-0.008169964126709872,-0.004387680613354705,-0.004387682250068969,1.9819848263713524e-06,0.0
funding_all,E6_acf,lnMstar,100,0,0,-0.20239723011592542,-0.2023958340246907,-0.35052153401361563,-0.35052156084374975,0.00013051628574700658,0.02
funding_all,E6_acf,sd_omega,100,0,0,-0.013643030161312429,-0.013643031074975857,-0.012174598174740009,-0.012174567772401723,9.077180135319551e-08,0.0
funding_all,E6_acf,tfp_growth,100,0,0,0.0035191403926352572,0.0035191391373356916,0.0031017924934855085,0.0031017925192251966,1.7168569355074936e-07,0.0
funding_all,E6b_acf_lagonly,alpha,100,0,0,0.012540106183536705,0.012539515926282947,-0.014022664663697365,-0.014022708951751367,3.689686082358756e-05,0.0
funding_all,E6b_acf_lagonly,beta,100,0,0,0.03489980016792675,0.03490139265782485,0.010871868061309214,0.01087171554673988,9.418526287890971e-05,0.0
funding_all,E6b_acf_lagonly,a,100,0,0,0.006141764784446379,0.0061433206438740815,0.015087343937365216,0.0150874699050364,9.651300666946305e-05,0.0
funding_all,E6b_acf_lagonly,gamma,100,0,0,-0.002751272344173677,-0.0027510395200633577,-0.0021328405140534495,-0.0021328380993787116,1.4627299804337301e-05,0.0
