alpha,beta,ssr,tilt_range,tau_own,tau_ref,delta_ssr,lr_gaussian
1.05,1.0554,6.08129,892.265,inf,inf,6.06164,269228
1.05,1.2,6.08129,7.40448e+89,inf,inf,6.06164,269228
1.05,1.5,6.08129,7.40448e+89,inf,inf,6.06164,269228
1.15,0.04,2.28719,0.360306,1.83227,2.32317,2.26753,100713
1.15,0.06,0.859246,0.480684,2.21338,3.07885,0.839591,37290.5
1.15,0.08,0.141573,0.485948,2.20375,3.117,0.121917,5414.97
1.15,0.0941,0.0258604,0.550926,2.42459,3.62875,0.0062049,275.591
1.15,0.1,0.0236205,0.616525,2.68167,4.23065,0.00396504,176.108
1.15,0.12,0.0208308,0.67815,2.90942,4.88675,0.00117532,52.2019
1.15,0.14,0.0202963,0.757842,3.23798,5.88829,0.00064081,28.4616
1.15,0.16,0.0219924,0.865288,3.74735,7.57107,0.00233691,103.794
1.15,0.18,0.0258867,1.01913,4.62989,10.851,0.00623127,276.762
1.15,0.2,0.0319396,1.26164,6.48244,19.1365,0.0122842,545.603
1.15,0.3,0.11011,773.643,inf,inf,0.0904549,4017.56
1.15,0.5,0.934497,812.812,inf,inf,0.914841,40632.8
1.15,0.8,3.45058,169.429,2.94204e+75,1.39454e+172,3.43092,152385
1.15,1,5.54017,277.859,1.7932e+112,2.05519e+282,5.52052,245194
1.15,1.0554,6.1398,220.116,4.91753e+86,4.40383e+223,6.12015,271827
1.15,1.2,7.17071,438.115,8.56131e+161,inf,7.15106,317615
1.15,1.5,7.17071,4273.8,inf,inf,7.15106,317615
1.25,0.04,2.68486,0.354585,1.73281,2.29229,2.66521,118376
1.25,0.06,1.03754,0.470964,2.05244,3.00963,1.01788,45209.4
1.25,0.08,0.185236,0.476785,2.04822,3.0509,0.165581,7354.28
1.25,0.0941,0.0304209,0.511241,2.13981,3.30701,0.0107654,478.145
1.25,0.1,0.0265686,0.582901,2.37158,3.91061,0.00691312,307.047
1.25,0.12,0.0222024,0.651837,2.58982,4.595,0.00254688,113.12
1.25,0.14,0.0204499,0.728868,2.85403,5.50239,0.000794445,35.2854
1.25,0.16,0.0212789,0.832317,3.2563,7.00904,0.00162347,72.1066
1.25,0.18,0.0246493,0.97956,3.93541,9.89149,0.00499384,221.802
1.25,0.2,0.0305124,1.20926,5.30128,16.9296,0.0108569,482.211
1.25,0.3,0.110111,113.995,7.59869e+63,6.64707e+115,0.0904558,4017.6
1.25,0.5,0.934497,720.782,inf,inf,0.914841,40632.8
1.25,0.8,3.45058,0.303552,1.34467,2.03431,3.43092,152385
1.25,1,5.54017,3.3367,19.4132,2455.73,5.52052,245194
1.25,1.0554,6.1398,449.865,3.10749e+169,inf,6.12015,271827
1.25,1.2,7.70605,1073.93,inf,inf,7.68639,341392
1.25,1.5,8.2486,725.386,1.29907e+229,inf,8.22894,365489
1.35,0.04,3.07648,0.34923,1.65283,2.26375,3.05682,135769
1.35,0.06,1.21623,0.462017,1.9258,2.94729,1.19657,53145.8
1.35,0.08,0.231852,0.504804,2.02591,3.25758,0.212197,9424.74
1.35,0.0941,0.0363503,0.490576,1.97274,3.15094,0.0166949,741.504
1.35,0.1,0.0301199,0.519594,2.04763,3.37227,0.0104644,464.777
1.35,0.12,0.0240763,0.629077,2.35346,4.35673,0.00442079,196.35
1.35,0.14,0.0210502,0.703651,2.57152,5.18716,0.00139475,61.9478
