cell,statistic,corpus,scheme,n_rep,noise_free_value,mean_estimate,mean_bias,mc_sd,mc_sd_se,mean_boot_se,factor,factor_mc_se,coverage,coverage_mc_se,mean_halfwidth,truth,kappa,noise_sd,rho_trunk,applied_factor,coverage_calibrated,coverage_calibrated_mc_se,reject_zero,reject_zero_mc_se,mde80_oracle,mde80_uncalibrated,reject_zero_calibrated,reject_zero_calibrated_mc_se,mde80_calibrated
chin_s010_r5,mf_F,web,cr2cv,150,0.68964488167643,0.6765688047882878,-0.013076076888142269,0.028983181014488775,0.001678950596783101,0.022139996832204866,1.3090869539931371,0.07903743803799292,0.7333333333333333,0.036106837353937604,0.03905456634256375,chin,1.0,0.01,0.5,1.743444986930914,0.9066666666666666,0.023751803050466473,,,,,,,
chin_s010_r5,mf_F,pooled,wcu,300,0.692327017948903,0.6809694540236135,-0.011357563925289305,0.032859800735335884,0.0013437371789018784,0.014244588803496896,2.306826907300346,0.11250685930033297,0.4633333333333333,0.028789787283893777,0.024002563722885548,chin,1.0,0.01,0.5,1.743444986930914,0.7166666666666667,0.02601637660881799,,,,,,,
chin_s010_r5,mf_F,pooled,cr2cv,300,0.692327017948903,0.6809694540236135,-0.011357563925289305,0.032859800735335884,0.0013437371789018784,0.024346371567043928,1.3496795875659773,0.06188035776100839,0.72,0.02592296279363144,0.04295784016262067,chin,1.0,0.01,0.5,1.743444986930914,0.9,0.01732050807568877,,,,,,,
chin_s010_r5,mf_P,edu,wcu,150,0.736281460133994,0.7355704787833101,-0.0007109813506839043,0.03118363344266168,0.0018064193834434353,0.01308870950511914,2.382483424394545,0.1472639947977686,0.48,0.040792156108742275,0.02212234812491345,chin,1.0,0.01,0.5,1.743444986930914,0.7466666666666667,0.03551108329855676,,,,,,,
chin_s010_r5,mf_P,edu,cr2cv,150,0.736281460133994,0.7355704787833101,-0.0007109813506839043,0.03118363344266168,0.0018064193834434353,0.02330232427189872,1.3382198736401316,0.08559177767415765,0.72,0.03666060555964672,0.04051244618057989,chin,1.0,0.01,0.5,1.743444986930914,0.94,0.019390719429665325,,,,,,,
chin_s010_r5,mf_P,web,wcu,150,0.7389738221798979,0.7334074968760589,-0.0055663253038387515,0.024361648904349345,0.0014112324298057788,0.011260813392513766,2.1634004627538777,0.14597765164282003,0.54,0.04069397989875161,0.019077835220124587,chin,1.0,0.01,0.5,1.743444986930914,0.7466666666666667,0.03551108329855676,,,,,,,
chin_s010_r5,mf_P,web,cr2cv,150,0.7389738221798979,0.7334074968760589,-0.0055663253038387515,0.024361648904349345,0.0014112324298057788,0.019515882369747998,1.2482986135493868,0.08826143825884444,0.78,0.03382306905057552,0.03506083476275818,chin,1.0,0.01,0.5,1.743444986930914,0.9266666666666666,0.02128466671190877,,,,,,,
chin_s010_r5,mf_P,pooled,wcu,300,0.7376276411569459,0.7344889878296845,-0.0031386533272613278,0.02804013536765531,0.0011466464053886414,0.012174761448816454,2.303136327191132,0.10980210866632552,0.51,0.028861739379323625,0.02060009167251902,chin,1.0,0.01,0.5,1.743444986930914,0.7466666666666667,0.025110127807689838,,,,,,,
chin_s010_r5,mf_P,pooled,cr2cv,300,0.7376276411569459,0.7344889878296845,-0.0031386533272613278,0.02804013536765531,0.0011466464053886414,0.02140910332082336,1.3097295551085664,0.062055620378408755,0.75,0.025,0.037786640471669034,chin,1.0,0.01,0.5,1.743444986930914,0.9333333333333333,0.014401645996461909,,,,,,,
chin_s010_r5,mf_P6,edu,wcu,150,0.7386682096622947,0.740204539677151,0.0015363300148563597,0.021032938758309947,0.0012184054284004816,0.010518622298303098,1.9995906461726511,0.1341742429657265,0.62,0.0396316371938716,0.017923619260746478,chin,1.0,0.01,0.5,1.743444986930914,0.8266666666666667,0.030907268712379928,,,,,,,
