sample,objective,sigma_star,obj,LR,LR_KB,kappa,E,a_share,kappa_at_bound
on-path band (n=41),huber,0.84,0.00010029755330815214,1.2005213494635258,0.46313862198596173,1.9670367751682984,1.6374331456888878,0.2696387326058023,False
on-path band (n=41),huber,0.86,0.00010026878427246817,1.1769973526580741,0.4284468855729789,2.516183845059961,1.6142588980013706,0.22852653947706755,False
on-path band (n=41),huber,0.88,0.00010021786929022314,1.1353484093528172,0.37869097672424074,3.564003970682594,1.5831754147539219,0.17510133642685854,False
on-path band (n=41),huber,0.9,0.00010013819811940937,1.070134149205494,0.3096034687613522,6.572664604890599,1.5398813825031128,0.1031387409060246,False
on-path band (n=41),huber,0.92,0.00010002170327561467,0.9746846790250725,0.2470250530468746,75.09137747537999,1.488496917375507,0.010000000000000009,False
on-path band (n=41),huber,0.94,0.00010026188476331034,1.171354726980065,0.7339785847067365,108.83311250881333,1.5675980923877302,0.010000000000000009,False
on-path band (n=41),huber,0.96,0.00010098785208683173,1.7629537985869654,1.3585675189106197,176.7472739830797,1.6365911103828181,0.010000000000000009,False
on-path band (n=41),huber,0.98,0.00010220525780598519,2.745550733432337,2.022083520250188,299.99999999999994,1.700755426961889,0.012791765857720572,True
on-path band (n=41),huber,0.99,0.00010299504023017386,3.376763058090709,2.3361263029388177,299.99999999999994,1.7293523619200757,0.026973323743377242,True
on-path band (n=41),gauss,0.05,0.0004147492635647324,16.412589432824277,,0.01686666961021109,1.7186762240768843,0.5134488182532425,False
on-path band (n=41),gauss,0.1,0.0003172744562799888,5.428404012137031,,0.03619126923950405,1.7336820452340944,0.5121031569436625,False
on-path band (n=41),gauss,0.15,0.0002853600216351267,1.0817654326782167,,0.05794102630686859,1.7409782832971332,0.5111105021763316,False
on-path band (n=41),gauss,0.2,0.00027819205293546365,0.038729376949721596,,0.08243642034111226,1.744924496502726,0.5100208309321196,False
on-path band (n=41),gauss,0.25,0.00027882270953087423,0.1315704763344957,,0.11019746543748378,1.7472751570525928,0.5087486671432486,False
on-path band (n=41),gauss,0.3,0.0002817805376242492,0.5642189769180675,,0.14191627317150618,1.7487567705479452,0.507255680546688,False
on-path band (n=41),gauss,0.35,0.0002852595584106588,1.0673285209780916,,0.17850383177662926,1.7497052674582383,0.5054985392854674,False
on-path band (n=41),gauss,0.4,0.0002886509724234821,1.5518974062092357,,0.2211771647757683,1.7502891987110754,0.503417318150136,False
on-path band (n=41),gauss,0.45,0.0002917623814697856,1.9914772057774666,,0.27159815369397095,1.7505951775453272,0.5009270630882623,False
on-path band (n=41),gauss,0.5,0.0002945522710966506,2.3816647527314947,,0.33209762183057573,1.750663090303946,0.4979057734835135,False
on-path band (n=41),gauss,0.55,0.0002970333729381772,2.725573611801614,,0.40605157914824486,1.7505000379974776,0.4941737781588793,False
on-path band (n=41),gauss,0.6,0.00029923578575626335,3.0284547347989728,,0.49854595400348956,1.750082300475449,0.489457183194483,False
on-path band (n=41),gauss,0.61,0.00029964576304336484,3.08458961299198,,0.5199038504200743,1.7499635614731002,0.48836134126645736,False
on-path band (n=41),gauss,0.62,0.00030004618338321193,3.139341845271771,,0.5423925100318975,1.7498314388050282,0.48720487887477437,False
on-path band (n=41),gauss,0.63,0.0003004372987249543,3.192751245386436,,0.5661052343373093,1.749685526983738,0.4859829573640857,False
on-path band (n=41),gauss,0.64,0.0003008193544860817,3.2448564095649006,,0.5911454420227822,1.7495244033042425,0.48468961152102924,False
on-path band (n=41),gauss,0.65,0.0003011925889400793,3.2956946520338213,,0.6176290848837723,1.749347183012887,0.4833186426246472,False
on-path band (n=41),gauss,0.66,0.00030155723268621707,3.345301951377965,,0.6456859689888709,1.7491525328767092,0.4818631186878468,False
on-path band (n=41),gauss,0.67,0.0003019135081745993,3.3937129039949503,,0.6754622364905548,1.7489390157322142,0.4803147679739789,False
on-path band (n=41),gauss,0.68,0.00030226162926192264,3.440960681254855,,0.7071229424793197,1.7487050519870069,0.4786646990856348,False
on-path band (n=41),gauss,0.69,0.00030260180077706683,3.487076987510746,,0.7408552180791649,1.748448746405826,0.47690268831097393,False
on-path band (n=41),gauss,0.7,0.0003029342180722957,3.5320920156815747,,0.7768721805030431,1.7481679068230584,0.4750170637130644,False
on-path band (n=41),gauss,0.71,0.0003032590665358788,3.5760343971628723,,0.8154177095345505,1.74786005925963,0.4729945861335446,False
on-path band (n=41),gauss,0.72,0.0003035765210392896,3.6189311424877944,,0.8567723188461968,1.7475222975594087,0.4708198326345914,False
on-path band (n=41),gauss,0.73,0.0003038867452872899,3.6608075685329755,,0.9012601166997967,1.7471512201700239,0.46847554118240503,False
on-path band (n=41),gauss,0.74,0.00030418989103663603,3.701687207744258,,0.9492585058927375,1.7467430193492672,0.46594118621178293,False
on-path band (n=41),gauss,0.75,0.0003044860971346092,3.7415916929271424,,1.0012089348308781,1.746292854521001,0.463192769882371,False
