cell,label,estimator,param,truth,R,mean,median,bias,mc_se_bias,median_bias,sd,rmse,mae,q05,q95,wald_computable,wald_cover,wald_median_width,boot_R,boot_cover,boot_median_width,corner_share,wald_cover_mcse,boot_cover_mcse,share_obj_above_truth,median_obj_minus_truth
onpath_hc,"(i) On-path (s=0.02), het./clustered noise",dual,gamma,0.17828649103139016,500,0.17754550682462134,0.17695817559881383,-0.0007409842067688435,0.0008286624340085077,-0.0013283154325763186,0.018529455328434568,0.0185257413059126,0.012649114677458134,0.14716784239233452,0.20619552731379592,,,,,,,,,,,
onpath_hc,"(i) On-path (s=0.02), het./clustered noise",dual,sigma_star,0.7370283018867925,500,0.738387634641949,0.7384685347537682,0.0013593327551564714,0.0009063154286686299,0.0014402328669756992,0.020265829075599182,0.020291136143754978,0.013794854168873605,0.7078678290115261,0.7724794758131646,,,,,,,,,,,
onpath_hc,"(i) On-path (s=0.02), het./clustered noise",dual,lnMstar,2.8979598554678856,500,2.898207454399582,2.8984514190519555,0.0002475989316968246,0.00043953177683859394,0.0004915635840698762,0.009828229312823638,0.009821517625783316,0.006721042636105068,2.8812359796384506,2.913786495292667,,,,,,,,,,,
iso16_hc,"(ii) IsoFLOP +-16x, het./clustered noise",primal,alpha,0.3478,500,0.3484024000098498,0.34828661165474717,0.0006024000098498055,0.00038043341973481424,0.0004866116547471988,0.008506749874397547,0.008519562759354414,0.005876000258637465,0.3349437662311476,0.3628067029032303,1.0,0.862,0.024755782313327524,,,,0.0,0.01542439626046997,,0.0,-3.143456975432678e-05
iso16_hc,"(ii) IsoFLOP +-16x, het./clustered noise",primal,beta,0.3658,500,0.3657264186631502,0.365060071907958,-7.35813368498427e-05,0.0003741848631268193,-0.0007399280920420137,0.008367027901030225,0.00835898054776763,0.0056152860631080714,0.35274774638805456,0.3803959804826591,1.0,0.872,0.025476331763174744,,,,0.0,0.014940950438308804,,0.0,-3.143456975432678e-05
iso16_hc,"(ii) IsoFLOP +-16x, het./clustered noise",primal,a,0.5126121076233184,500,0.5121376596210578,0.5123305437978019,-0.00047444800226055793,0.00021387430825112292,-0.0002815638255165842,0.00478237491890255,0.004801090350333694,0.0031999107428218876,0.5043394238650153,0.5197609663518735,1.0,0.97,0.02148750534421892,,,,0.0,0.007628892449104264,,0.0,-3.143456975432678e-05
iso16_hc,"(ii) IsoFLOP +-16x, het./clustered noise",primal,gamma,0.17828649103139016,500,0.17841087073390152,0.17813879907673305,0.00012437970251137365,0.00017293950068956218,-0.00014769195465710871,0.003867044795367328,0.003865177575335395,0.0026269276090977317,0.17209925084328034,0.18508897691337375,1.0,0.81,0.009961734316814054,,,,0.0,0.01754422982065613,,0.0,-3.143456975432678e-05
iso16_hc,"(ii) IsoFLOP +-16x, het./clustered noise",primal,sigma_star,0.7370283018867925,500,0.7369084943142784,0.7371031747684761,-0.00011980757251417318,0.00018739459490541566,7.487288168361861e-05,0.004190270528245452,0.004187792284738391,0.0028586932643974716,0.729722364081453,0.743755806680076,1.0,0.816,0.010884545162147331,,,,0.0,0.017328819925199756,,0.0,-3.143456975432678e-05
iso16_hc,"(ii) IsoFLOP +-16x, het./clustered noise",primal,lnMstar,2.8979598554678856,500,2.9073552970672063,2.902280394030018,0.009395441599321,0.003986566634967066,0.004320538562132548,0.0891423399261895,0.08954740854333831,0.05950617134328162,2.7640982747167886,3.0531453748530506,1.0,0.99,0.48692103192032643,,,,0.0,0.0044497190922574,,0.0,-3.143456975432678e-05
iso16_hc,"(ii) IsoFLOP +-16x, het./clustered noise",dual,alpha,0.3478,500,0.3539761729861468,0.351457035011456,0.006176172986146784,0.0021003755210298796,0.003657035011455978,0.046965824432993505,0.0473235903128264,0.02921520876061523,0.27813933847200495,0.4304670881466601,,,,,,,,,,,
