rep,chi|val1,wcu|val1|lo,wcu|val1|hi,wcu|val1|se,wcu|val1|p_wcr,wcu|val1|se_wcr,cr2|val1|lo,cr2|val1|hi,cr2|val1|se,cr2|val1|p_wcr,cr2|val1|se_wcr,chi|val2,wcu|val2|lo,wcu|val2|hi,wcu|val2|se,wcu|val2|p_wcr,wcu|val2|se_wcr,cr2|val2|lo,cr2|val2|hi,cr2|val2|se,cr2|val2|p_wcr,cr2|val2|se_wcr
36,0.2072385517064319,0.19623764669742555,0.2170488697108835,0.005689148267590496,0.01,0.10962856133034882,0.19362218001434575,0.21984199195067458,0.00726164204646677,0.03,0.11612125367877846,0.21681694709736732,0.19653003998911905,0.23947348731004667,0.011325270593399654,0.02,0.11453617229486254,0.19627402535752253,0.24057034965058452,0.012051695878262431,0.03,0.1277673142358769
38,0.214915426885395,0.20515496652463314,0.22414563797700465,0.005414063951931833,0.03,0.11841810805968608,0.20295586239986446,0.2265528887384522,0.006647307401017379,0.08,0.1271571271006238,0.2194894769354292,0.19705770496579134,0.2478832955311059,0.01409236263468751,0.02,0.11764019780999953,0.19256427201017812,0.2515855979987204,0.016513258237978872,0.01,0.1220691786835521
37,0.19411049306538786,0.17004402788423315,0.22093701752278852,0.011896110810707716,0.01,0.09467856073586531,0.1679724369443489,0.22363707921316306,0.012539961737586659,0.02,0.10172073758615216,0.1902554198774027,0.16897839478293744,0.2090735697322975,0.01132491363223437,0.02,0.11161553827766785,0.170284778552413,0.21102162699800342,0.012119151849177825,0.04,0.12143446899750572
39,0.2284921494881491,0.20816143772622847,0.25291421206838016,0.012755693697196136,0.01,0.1234541662359481,0.20255158237160426,0.2535091272051259,0.014940359301267385,0.01,0.1341269394185845,0.23189301739483348,0.21976413138179013,0.24258925852224827,0.006074440018116024,0.02,0.13163093692594718,0.2154088969591199,0.2449324545510771,0.007897590886419162,0.03,0.13970444299431878
40,0.23617647618939763,0.21931668348300193,0.2517754936135735,0.008372699614054058,0.02,0.1475746355598069,0.21750395454236382,0.25321216609628927,0.009729935461393835,0.03,0.15561736385869526,0.2233514012897828,0.21040344409877929,0.23856903557965697,0.008134217100160535,0.03,0.13737997713641872,0.20736804216196983,0.24131118976829752,0.009752024924853978,0.06,0.14478637829212418
41,0.27066382021800006,0.2513972302478458,0.29323047476324576,0.01126760891710776,0.01,0.1425910115812187,0.24483634555699108,0.3002740052570918,0.014640265243810605,0.01,0.1525227220621093,0.23962349859545196,0.21834741194530538,0.25967157039789573,0.012004245037104585,0.01,0.15072955936145407,0.21317804684275832,0.2619189517551964,0.014351916501409026,0.03,0.16167148060638825
42,0.22657972538473814,0.1922954147875615,0.25458490808896367,0.017632797938598167,0.01,0.12009513758107779,0.1891316109448703,0.26043781173312724,0.01927669664678283,0.02,0.13391862565774945,0.2177189559595707,0.2057430892738273,0.23648705899468517,0.008600229824580977,0.04,0.14217411539678126,0.2018640429450022,0.23893015774842113,0.009831020293738045,0.16,0.1526583124866762
43,0.25180162233102266,0.23475755154638994,0.27902761434420154,0.011668001480786484,0.01,0.10808807641353482,0.23101339020502537,0.28424047431337995,0.013928800481070345,0.02,0.11483811981927113,0.23803535144970578,0.21228393522329603,0.2619830136476031,0.013711577020036834,0.01,0.12635387145559085,0.2074302007310148,0.26245659282535494,0.015215501448670583,0.02,0.1389910703273887
44,0.23718955056406266,0.22247754344071025,0.2502586700451682,0.007229953219248672,0.03,0.1269030336839871,0.21928959792229863,0.25269214850912963,0.009126220003825555,0.03,0.13119449761724708,0.23189743932487072,0.21812655130749634,0.2460301254898078,0.0076404924043730425,0.02,0.12963990234556758,0.21372631895691258,0.2497091295828089,0.009688020273308041,0.03,0.13750590828360032
45,0.24486524592401704,0.21774337797705134,0.2708819390820813,0.014717207580063705,0.02,0.1347879459182574,0.2105265725698927,0.27781153474885406,0.02011238089295632,0.02,0.1360310904805558,0.23375008462316682,0.2092923362255143,0.25930821459551917,0.013118919744382626,0.01,0.13685079211615492,0.20293061005021357,0.2667928715874108,0.017688812968039012,0.02,0.1406667464260109
47,0.23286247880542454,0.21806197869827168,0.2473614735815352,0.008088084068525453,0.01,0.13843068131286237,0.2146904560478573,0.2500927114751044,0.0093954229270975,0.03,0.14776447360504286,0.22153987454538537,0.2127129942340594,0.2298432227814459,0.004818768994589547,0.02,0.1328621657515771,0.212329935307047,0.23217370616337046,0.005475007497340372,0.06,0.14378811599158176
46,0.19785166366285,0.17442321500678096,0.2203289671881337,0.012581490257157955,0.01,0.11459741077576265,0.1714443644917422,0.22072050036975646,0.013378012953543615,0.03,0.12132262145446682,0.2065621321314337,0.18699054155580183,0.2275671842359066,0.010846709237044545,0.03,0.10432335179711165,0.1844154281797353,0.22786577425599513,0.011845171579266529,0.04,0.10921968150431816
48,0.20353924580579275,0.16820836952215784,0.2432194793384294,0.021281924281111933,0.01,0.10351058169679549,0.1593652288734108,0.2555836528512193,0.02868786905051084,0.01,0.1122857907571451,0.1728392374418508,0.1505556823101784,0.19056888157118562,0.010758599902638164,0.01,0.09368996065094566,0.1469579027860996,0.1947632639229023,0.012069302371921891,0.02,0.10468593593055694
50,0.22143079621598982,0.19284251289532467,0.2437559572484085,0.01370603474685537,0.02,0.10903413579929812,0.18653828355014113,0.2456345010960407,0.016207976628013175,0.05,0.11726014194481119,0.20802951716833995,0.17059188561200647,0.23605240020975118,0.016795484040695752,0.02,0.1137075536827062,0.1644581211520436,0.24061130478180237,0.018597185560487006,0.04,0.1198750222259379
51,0.19449398588628597,0.17698066308640367,0.21079898110455125,0.009807040544481433,0.01,0.11104561802016245,0.1738339828565371,0.21504875364005183,0.011714243325427483,0.04,0.11861328973235356,0.20934848924257743,0.19556135411107953,0.2229067698060744,0.007812285966663915,0.01,0.09946616175454759,0.1924525098465711,0.22638716912598025,0.009637410858834912,0.04,0.11535093068200865
