set,variant,members,k,mu_fixed,se_fixed,Q,df,p_Q,I2,tau2,tau,mu_re,se_re,lo_re,hi_re,se_hksj,lo_hksj,hi_hksj,pi_lo,pi_hi
"model-free sigma*, excluding Porian et al. (unannealed constant-LR profiles)",leave out Llama 3,"Chinchilla; Marin, Comma; Marin, DCLM; Marin, Nemotron-CC; Farseer (local path)",5,0.7005670362986408,0.00927377964313622,1.2503468945000262,4,0.8697417935604692,0.0,0.0,0.0,0.7005670362986408,0.00927377964313622,0.6823904281980938,0.7187436443991878,0.00927377964313622,0.6748188962017723,0.7263151763955094,0.6710537305373266,0.730080342059955
"model-free sigma*, excluding Porian et al. (unannealed constant-LR profiles)","leave out Marin, Comma","Chinchilla; Llama 3; Marin, DCLM; Marin, Nemotron-CC; Farseer (local path)",5,0.6940723329720588,0.009073895288998142,4.011296387824246,4,0.4044792085978622,0.002816143892666451,1.3104103172793451e-06,0.0011447315481279204,0.6940525245833649,0.009094796847519534,0.6762267227622266,0.7118783264045031,0.009094796847519534,0.668801320393301,0.7193037287734287,0.6648804538515458,0.7232245953151839
"model-free sigma*, excluding Porian et al. (unannealed constant-LR profiles)","leave out Marin, DCLM","Chinchilla; Llama 3; Marin, Comma; Marin, Nemotron-CC; Farseer (local path)",5,0.692706488354645,0.0090480612738353,3.5736403294079446,4,0.4667698614731456,0.0,0.0,0.0,0.692706488354645,0.0090480612738353,0.6749722882579278,0.7104406884513622,0.0090480612738353,0.6675850429193753,0.7178279337899147,0.6639115191837472,0.7215014575255427
"model-free sigma*, excluding Porian et al. (unannealed constant-LR profiles)","leave out Marin, Nemotron-CC","Chinchilla; Llama 3; Marin, Comma; Marin, DCLM; Farseer (local path)",5,0.6930775210915903,0.00923660456228839,3.8315341485320475,4,0.42928504427790537,0.0,0.0,0.0,0.6930775210915903,0.00923660456228839,0.674973776149505,0.7111812660336755,0.00923660456228839,0.667432595565977,0.7187224466172035,0.6636825230289689,0.7224725191542116
"model-free sigma*, excluding Porian et al. (unannealed constant-LR profiles)",leave out Farseer (local path),"Chinchilla; Llama 3; Marin, Comma; Marin, DCLM; Marin, Nemotron-CC",5,0.6888499439944374,0.011240642503623282,3.40765499816514,4,0.4920577764109576,0.0,0.0,0.0,0.6888499439944374,0.011240642503623282,0.6668182846873358,0.710881603301539,0.011240642503623282,0.6576409171359743,0.7200589708529006,0.6530772027897666,0.7246226851991083
"model-free sigma*, excluding Porian et al. (unannealed constant-LR profiles)",one estimate per study (inverse-variance within study),Hoffmann et al. (2022); Grattafiori et al. (2024); Marin (2026); Li et al. (2025),4,0.6946911145346345,0.008584593727956693,3.9434759395898737,3,0.2676327501135776,0.2392498278277809,0.00010228696881811702,0.010113702033287169,0.6927556385715282,0.010245655828093512,0.6726741531484649,0.7128371239945915,0.010447321613927885,0.6595075985011728,0.7260036786418836,0.6308123162510695,0.754698960891987
"model-free sigma*, excluding Porian; Farseer path at the extended-grid CV bandwidth (plain mean over C; primary SE)",all technologies,"Chinchilla; Llama 3; Marin, Comma; Marin, DCLM; Marin, Nemotron-CC; Farseer (local path)",6,0.6784241018765454,0.008584593727956693,5.471931509185235,5,0.36103351051966037,0.08624587285002495,4.5975050953046726e-05,0.006780490465522883,0.6794358824534013,0.009185021916992485,0.661433239496096,0.6974385254107065,0.009185021916992485,0.6558250319536589,0.7030467329531436,0.6477382070306545,0.711133557876148
"model-free sigma*, excluding Porian; Farseer path at the extended-grid CV bandwidth (plain mean over C; primary SE)",leave out Chinchilla,"Llama 3; Marin, Comma; Marin, DCLM; Marin, Nemotron-CC; Farseer (local path)",5,0.6789709244547094,0.009044866483932875,5.435081415867208,4,0.2454950835332152,0.2640404634376999,0.00016488735887021445,0.012840847280075191,0.6821008735033754,0.011128863967556949,0.6602883001269638,0.7039134468797871,0.011128863967556949,0.6512021936142398,0.7129995533925111,0.6280237244019273,0.7361780226048236
"model-free sigma*, excluding Porian; Farseer path at the extended-grid CV bandwidth (plain mean over C; primary SE)",leave out Llama 3,"Chinchilla; Marin, Comma; Marin, DCLM; Marin, Nemotron-CC; Farseer (local path)",5,0.6815832928612162,0.00927377964313622,4.6610199878235425,4,0.3238792394798665,0.14181874129490807,8.165280008263983e-05,0.009036193893594793,0.6837859866435964,0.010435726988621934,0.6633319617458974,0.7042400115412953,0.010435726988621934,0.6548117635268564,0.7127602097603363,0.6398547160892657,0.727717257197927
"model-free sigma*, excluding Porian; Farseer path at the extended-grid CV bandwidth (plain mean over C; primary SE)","leave out Marin, Comma","Chinchilla; Llama 3; Marin, DCLM; Marin, Nemotron-CC; Farseer (local path)",5,0.6758981105908782,0.009073895288998142,4.733460322238117,4,0.31575516298794315,0.15495224894825269,8.5083301718175e-05,0.009224061020948148,0.6774333079659276,0.010257796747768631,0.6573280263403011,0.6975385895915541,0.010257796747768631,0.6489530983954716,0.7059135175363837,0.6335310377635754,0.7213355781682798
