n,scheme,estimator,vs,param,diff,sd_diff,z,p,lo,hi,corr,B
240,cluster,nls_lev,huber,beta,0.06044818790369566,0.020809114682992548,2.90488994003673,0.0036738226016532257,0.0028804150876123084,0.08035670522535511,0.9302255386718973,400
240,cluster,nls_lev,huber,a,0.030676609940483157,0.015110434359861705,2.030160696238511,0.04234020752978512,-0.008667337054887127,0.051308451849896936,0.9396484908021028,400
240,cluster,nls_lev,huber,gamma,0.01626594235712861,0.0062395890176512045,2.606893228242085,0.009136784598827096,0.0026754377591691335,0.024915465080278212,0.9180384152095173,400
240,cluster,nls_lev,huber,sigma_star,-0.018716490627234128,0.006761022808464684,-2.768292780169504,0.005635080772774651,-0.026491280394281683,-0.002599010999335599,0.9163284877221761,400
240,cluster,nls_lev,huber,Mstar_1e+21,-3.112718050282165,2.615673824199954,-1.1900253087688561,0.2340364448122495,-9.161765606612546,2.0466229228971358,0.925502262558034,400
240,cluster,nls_lev,huber,Mstar_5.76e+23,-7.5532834832985305,13.27788507213795,-0.5688619416617929,0.5694498348435351,-45.67599089954345,2.3849320850072395,0.9445972821589397,400
240,cluster,nls_lev,huber,w_chin70b,0.255023831414394,0.13692835524677416,1.8624618031435969,0.06253802467028076,-0.059566603759984973,0.4232816340027838,0.9385139461588061,400
245,pairs,lad_log,huber,alpha,-0.003988563986554894,0.003823270366701424,-1.0432335681235327,0.29684013010905097,-0.00857163437049723,0.006563075415826427,0.9787631712458041,400
245,pairs,lad_log,huber,beta,-0.0012119389426255012,0.005092178386596504,-0.23800009556136809,0.8118810200846209,-0.009983441943264995,0.011062842476904176,0.9956291512296861,400
245,pairs,lad_log,huber,a,0.0021632948468173208,0.004176505424738787,0.5179676851377777,0.6044808158854652,-0.007432934709709155,0.008323221319810403,0.9922971648276034,400
245,pairs,lad_log,huber,gamma,-0.001505081868366176,0.0014814424823332486,-1.0159570056312248,0.30964986087381563,-0.0028965552135164396,0.0026998188486573407,0.9911473172392438,400
245,pairs,lad_log,huber,sigma_star,0.0013268856707614463,0.001525868585113663,0.8695936751739375,0.38452249544557726,-0.0032030925573329843,0.002921482606780789,0.9941086824560316,400
245,pairs,lad_log,huber,Mstar_1e+21,-0.25093759801963955,0.5575491202747086,-0.4500726283919177,0.6526580724446056,-1.1409637897400469,1.1133209251848681,0.9896772875214332,400
245,pairs,lad_log,huber,Mstar_5.76e+23,-0.2922189049466697,0.831870163757549,-0.35127946364456675,0.7253787001123887,-1.511887049771727,1.9503492300255285,0.9901298509102212,400
245,pairs,lad_log,huber,w_chin70b,0.022823460813504726,0.05929819767360527,0.384892993529614,0.7003166971286756,-0.08406431650714191,0.15536228660050544,0.9936416473451786,400
245,pairs,gauss_log,huber,alpha,0.02278497902014459,0.013126668589031746,1.7357777310827396,0.08260314309359082,0.0005717607231662856,0.05262940397585606,0.7443082638891798,400
245,pairs,gauss_log,huber,beta,0.15899894835747236,0.05074440987022834,3.133329341381439,0.0017283539266853565,0.03749514138129067,0.24287307504060934,0.5461292571915282,400
245,pairs,gauss_log,huber,a,0.05726352553087455,0.025975408278732102,2.2045284107337877,0.02748720417308422,-0.001383816900582737,0.10199430421524866,0.6269824983294183,400
245,pairs,gauss_log,huber,gamma,0.034173046330206625,0.010243172868519118,3.3361778395083466,0.00084938809909976,0.013416664200193931,0.05464544611846668,0.575298367987934,400
245,pairs,gauss_log,huber,sigma_star,-0.04347515384053113,0.01287171630366949,-3.377572408749963,0.0007312869694371242,-0.0663969600185063,-0.01415923562627111,0.5460537661322572,400
245,pairs,gauss_log,huber,Mstar_1e+21,-5.872429294443993,2.9074158108476285,-2.019810607252612,0.04340303646406937,-11.562102510368693,0.03770396487586022,0.6398767368835482,400
