dataset,null,bootstrap,cov,d_a,d_lnNstar_ref,d_gamma,d_Lstar_ref,W_slope,p_slope_chi2,p_slope_boot,W_path,p_path_chi2,p_path_boot,W_frontier,p_frontier_chi2,p_frontier_boot,W_all,p_all_chi2,p_all_boot,B,se_a_ols,sd_a3_strat,rse_a3_strat,t_a_ols_plus_a3,p_a_ols_plus_a3
Chinchilla n=245,"Besiroglu (fixed), design",stratified pairs,sd,-0.02783516860724955,0.05477477668201303,-0.022518869440068978,-0.011271447745982321,0.08587842988996118,0.7694837678186841,0.13712374581939799,0.16530372388818942,0.9206716122590692,0.21070234113712374,8.133492082810037,0.017133048130541517,0.016722408026755852,16.7709743646375,0.0021413418732462277,0.020066889632107024,298,,,,,
Chinchilla n=245,"A3 (this fit), analytic","wild, fixed design",robust,-0.0792796004986197,0.050688903016094855,-0.042853959824463994,-0.004055802878070391,0.14919849253394676,0.6993024871306379,0.5667506297229219,0.15382984728224647,0.9259686282948455,0.7355163727959698,4.875438580246933,0.08735986693877228,0.3022670025188917,8.399452479260052,0.07799424308230533,0.3198992443324937,396,,,,,
Chinchilla n=245,"A3 (this fit), analytic","wild, fixed design",sd,-0.0792796004986197,0.050688903016094855,-0.042853959824463994,-0.004055802878070391,0.0287168644022132,0.8654344316478351,0.5667506297229219,0.036451233816897556,0.9819394652181677,0.7808564231738035,2.0517037784096774,0.35849094072540355,0.2594458438287154,5.622981490897998,0.22912894367763093,0.34005037783375314,396,,,,,
Chinchilla n=245,"A3 (this fit), design-consistent","wild, fixed design",robust,-0.07548561102236906,0.02342249611431768,-0.04049677422641504,-0.004031363774854579,0.13996353198407133,0.7083172691192676,0.5818639798488665,0.17507562193377857,0.916184229184395,0.72544080604534,4.4345486903784135,0.10890554357079564,0.34005037783375314,7.737371369936526,0.10168640481338904,0.3677581863979849,396,,,,,
Chinchilla n=245,"A3 (this fit), design-consistent","wild, fixed design",sd,-0.07548561102236906,0.02342249611431768,-0.04049677422641504,-0.004031363774854579,0.026137463772467725,0.8715650607626094,0.5818639798488665,0.04692103446672681,0.9768125411690934,0.7481108312342569,1.8134763024869005,0.4038393408633466,0.2947103274559194,4.999067791361624,0.2873931589902598,0.41309823677581864,396,,,,,
Chinchilla n=245,"Hoffmann (fixed), analytic","wild, fixed design",robust,0.028867417102568738,0.17696373392053744,-0.0004603020858049145,-0.010778173387937517,0.02657241963138776,0.8705101758504792,0.9445843828715366,0.9134688859931349,0.6333485078645797,0.43073047858942065,5.41112466051649,0.06683273121084511,0.28211586901763225,8.479017643838672,0.0755257920691591,0.3879093198992443,396,,,,,
Chinchilla n=245,"Hoffmann (fixed), analytic","wild, fixed design",sd,0.028867417102568738,0.17696373392053744,-0.0004603020858049145,-0.010778173387937517,0.0039555084112092315,0.9498518421849016,0.9445843828715366,0.2463827564842746,0.8840944499278187,0.37531486146095716,0.39900197767142837,0.8191394108182192,0.7783375314861462,2.920686926918525,0.5711847857127352,0.6675062972292192,396,,,,,
Chinchilla n=245,"Hoffmann (fixed), design","wild, fixed design",robust,0.027399130133609284,0.1371084051201521,0.0006961584209402849,-0.012177197532472928,0.023938051537978806,0.8770426401402391,0.947103274559194,0.5888022068628092,0.7449776184287284,0.5743073047858942,6.977807972041914,0.030534319879719943,0.21662468513853905,9.750572681527592,0.044845521834896714,0.3198992443324937,396,,,,,
Chinchilla n=245,"Hoffmann (fixed), design","wild, fixed design",sd,0.027399130133609284,0.1371084051201521,0.0006961584209402849,-0.012177197532472928,0.0035633625209873358,0.9523994246721788,0.947103274559194,0.15942733601942974,0.9233807019722858,0.44080604534005036,0.5550096800584768,0.757671897439963,0.6876574307304786,2.92522926849621,0.5704150705055998,0.6675062972292192,396,,,,,
Chinchilla n=245,"Besiroglu (fixed), analytic","wild, fixed design",robust,-0.027247334327831885,0.08822520614137375,-0.02390288989655734,-0.010642550899050196,0.023673544587562757,0.8777184711587644,0.947103274559194,0.10670576101469484,0.9480454067037359,0.889168765743073,5.763492393569607,0.056036826025113326,0.2619647355163728,10.241225875511095,0.03655451053981694,0.30730478589420657,396,,,,,
