mx,mz,hx,hz,loocv_rmse,conv
0.3,0.25,0.30044855836368595,0.4138063785182105,0.0012452781249214467,emb
0.3,0.3,0.30044855836368595,0.49656765422185256,0.001215632678910397,emb
0.3,0.45,0.30044855836368595,0.7448514813327789,0.0011743273089699976,emb
0.3,0.6,0.30044855836368595,0.9931353084437051,0.0011682545887837052,emb
0.3,0.8,0.30044855836368595,1.3241804112582738,0.0012002533504480337,emb
0.3,1.0,0.30044855836368595,1.655225514072842,0.0012556191505233127,emb
0.45,0.08,0.45067283754552895,0.13241804112582736,0.0016825296342399781,emb
0.45,0.1,0.45067283754552895,0.16552255140728422,0.0015885705072873164,emb
0.45,0.125,0.45067283754552895,0.20690318925910525,0.0014856648337226606,emb
0.45,0.15,0.45067283754552895,0.24828382711092628,0.0014154572983919686,emb
0.45,0.175,0.45067283754552895,0.28966446496274734,0.001369195658551121,emb
0.45,0.2,0.45067283754552895,0.33104510281456845,0.0013370144695504834,emb
0.45,0.25,0.45067283754552895,0.4138063785182105,0.001296180724438447,emb
0.45,0.3,0.45067283754552895,0.49656765422185256,0.0012722302683702265,emb
0.45,0.45,0.45067283754552895,0.7448514813327789,0.0012403490687318314,emb
0.45,0.6,0.45067283754552895,0.9931353084437051,0.0012380608370913056,emb
0.45,0.8,0.45067283754552895,1.3241804112582738,0.001269754184068374,emb
0.45,1.0,0.45067283754552895,1.655225514072842,0.0013229800726231914,emb
0.6,0.08,0.6008971167273719,0.13241804112582736,0.001625803340361326,emb
0.6,0.1,0.6008971167273719,0.16552255140728422,0.0015631737568193315,emb
0.6,0.125,0.6008971167273719,0.20690318925910525,0.001489846349411194,emb
0.6,0.15,0.6008971167273719,0.24828382711092628,0.0014368972295208291,emb
0.6,0.175,0.6008971167273719,0.28966446496274734,0.0014005180743779271,emb
0.6,0.2,0.6008971167273719,0.33104510281456845,0.0013744959930388839,emb
0.6,0.25,0.6008971167273719,0.4138063785182105,0.001340741929407208,emb
0.6,0.3,0.6008971167273719,0.49656765422185256,0.0013208328376590607,emb
0.6,0.45,0.6008971167273719,0.7448514813327789,0.0012959841192317395,emb
0.6,0.6,0.6008971167273719,0.9931353084437051,0.0012981007789186047,emb
0.6,0.8,0.6008971167273719,1.3241804112582738,0.0013336503868062826,emb
0.6,1.0,0.6008971167273719,1.655225514072842,0.0013891015706167325,emb
0.8,0.08,0.8011961556364959,0.13241804112582736,0.0016990854107718193,emb
0.8,0.1,0.8011961556364959,0.16552255140728422,0.001649632814734613,emb
0.8,0.125,0.8011961556364959,0.20690318925910525,0.0015892123927638655,emb
0.8,0.15,0.8011961556364959,0.24828382711092628,0.001543710758401,emb
0.8,0.175,0.8011961556364959,0.28966446496274734,0.0015115799139838902,emb
0.8,0.2,0.8011961556364959,0.33104510281456845,0.0014882724884078497,emb
0.8,0.25,0.8011961556364959,0.4138063785182105,0.0014577969215556115,emb
0.8,0.3,0.8011961556364959,0.49656765422185256,0.0014400644551623833,emb
0.8,0.45,0.8011961556364959,0.7448514813327789,0.001421339337426689,emb
0.8,0.6,0.8011961556364959,0.9931353084437051,0.0014296177371352274,emb
0.8,0.8,0.8011961556364959,1.3241804112582738,0.0014701166537389758,emb
0.8,1.0,0.8011961556364959,1.655225514072842,0.001526766617195582,emb
1.0,0.08,1.0014951945456199,0.13241804112582736,0.0018166334237048449,emb
1.0,0.1,1.0014951945456199,0.16552255140728422,0.0017697485751054214,emb
1.0,0.125,1.0014951945456199,0.20690318925910525,0.0017119862911564674,emb
1.0,0.15,1.0014951945456199,0.24828382711092628,0.0016677835756832668,emb
1.0,0.175,1.0014951945456199,0.28966446496274734,0.0016364471601025697,emb
1.0,0.2,1.0014951945456199,0.33104510281456845,0.0016138477365008172,emb
1.0,0.25,1.0014951945456199,0.4138063785182105,0.0015846843347592753,emb
1.0,0.3,1.0014951945456199,0.49656765422185256,0.0015683499555503204,emb
1.0,0.45,1.0014951945456199,0.7448514813327789,0.0015557553296122525,emb
1.0,0.6,1.0014951945456199,0.9931353084437051,0.0015712128634040592,emb
1.0,0.8,1.0014951945456199,1.3241804112582738,0.0016174146333472709,emb
1.0,1.0,1.0014951945456199,1.655225514072842,0.0016757452493325509,emb
