set,series,tau,share
S1,all models,2.239182148400991,0.6493506493506493
S1,all models,2.247593389036647,0.6493506493506493
S1,all models,2.256036225569529,0.6493506493506493
S1,all models,2.2645107766861385,0.6493506493506493
S1,all models,2.273017161518809,0.6363636363636364
S1,all models,2.2815554996473812,0.6363636363636364
S1,all models,2.290125911100886,0.6233766233766234
S1,all models,2.298728516359229,0.6233766233766234
S1,all models,2.3073634363548843,0.6233766233766234
S1,all models,2.316030792474597,0.6233766233766234
S1,all models,2.3247307065610885,0.6233766233766234
S1,all models,2.3334633009147674,0.6233766233766234
S1,all models,2.3422286982954503,0.6233766233766234
S1,all models,2.3510270219240894,0.6233766233766234
S1,all models,2.3598583954845007,0.6103896103896104
S1,all models,2.3687229431251065,0.6103896103896104
S1,all models,2.3776207894606776,0.6103896103896104
S1,all models,2.3865520595740866,0.5974025974025974
S1,all models,2.3955168790180665,0.5974025974025974
S1,all models,2.404515373816976,0.5974025974025974
S1,all models,2.4135476704685694,0.5974025974025974
S1,all models,2.422613895945776,0.5974025974025974
S1,all models,2.4317141776984843,0.5974025974025974
S1,all models,2.440848643655336,0.5974025974025974
S1,all models,2.4500174222255215,0.5974025974025974
S1,all models,2.4592206423005853,0.5974025974025974
S1,all models,2.468458433256241,0.5974025974025974
S1,all models,2.4777309249541855,0.5974025974025974
S1,all models,2.4870382477439277,0.5974025974025974
S1,all models,2.4963805324646207,0.5974025974025974
S1,all models,2.5057579104468997,0.5974025974025974
S1,all models,2.5151705135147293,0.5974025974025974
S1,all models,2.5246184739872555,0.5974025974025974
S1,all models,2.534101924680668,0.5974025974025974
S1,all models,2.5436209989100647,0.5974025974025974
S1,all models,2.5531758304913272,0.5974025974025974
S1,all models,2.562766553743002,0.5974025974025974
S1,all models,2.572393303488188,0.5974025974025974
S1,all models,2.5820562150564323,0.5974025974025974
S1,all models,2.5917554242856324,0.5844155844155844
S1,all models,2.6014910675239467,0.5844155844155844
S1,all models,2.611263281631709,0.5844155844155844
S1,all models,2.6210722039833554,0.5844155844155844
S1,all models,2.6309179724693528,0.5714285714285714
S1,all models,2.6408007254981385,0.5714285714285714
S1,all models,2.650720601998066,0.5714285714285714
S1,all models,2.660677741419358,0.5714285714285714
S1,all models,2.6706722837360672,0.5714285714285714
S1,all models,2.680704369448042,0.5584415584415584
S1,all models,2.690774139582903,0.5584415584415584
S1,all models,2.700881735698027,0.5584415584415584
S1,all models,2.711027299882534,0.5584415584415584
S1,all models,2.721210974759287,0.5584415584415584
S1,all models,2.7314329034868963,0.5454545454545454
S1,all models,2.7416932297617302,0.5454545454545454
S1,all models,2.7519920978199375,0.5454545454545454
S1,all models,2.7623296524394747,0.5454545454545454
S1,all models,2.77270603894214,0.5454545454545454
S1,all models,2.7831214031956173,0.5454545454545454
S1,all models,2.7935758916155256,0.5454545454545454
S1,all models,2.8040696511674787,0.5454545454545454
S1,all models,2.814602829369151,0.5454545454545454
S1,all models,2.82517557429235,0.5454545454545454
S1,all models,2.8357880345650974,0.5454545454545454
S1,all models,2.8464403593737226,0.5454545454545454
S1,all models,2.8571326984649543,0.5454545454545454
S1,all models,2.86786520214803,0.5324675324675324
S1,all models,2.878638021296806,0.5324675324675324
S1,all models,2.889451307351881,0.5324675324675324
S1,all models,2.900305212322722,0.5324675324675324
S1,all models,2.911199888789804,0.5324675324675324
S1,all models,2.9221354899067533,0.5324675324675324
S1,all models,2.933112169402501,0.5324675324675324
S1,all models,2.9441300815834435,0.5324675324675324
S1,all models,2.9551893813356127,0.5324675324675324
S1,all models,2.9662902241268525,0.5324675324675324
S1,all models,2.9774327660090045,0.5324675324675324
S1,all models,2.9886171636201024,0.5324675324675324
S1,all models,2.999843574186573,0.5324675324675324
S1,all models,3.011112155525447,0.5324675324675324
S1,all models,3.0224230660465765,0.5324675324675324
S1,all models,3.0337764647548635,0.5324675324675324
S1,all models,3.045172511252496,0.5324675324675324
S1,all models,3.0566113657411855,0.5324675324675324
S1,all models,3.068093189024428,0.5324675324675324
S1,all models,3.0796181425097577,0.5324675324675324
S1,all models,3.0911863882110198,0.5324675324675324
S1,all models,3.1027980887506454,0.5324675324675324
S1,all models,3.1144534073619394,0.5324675324675324
S1,all models,3.1261525078913754,0.5324675324675324
S1,all models,3.137895554800896,0.5324675324675324
S1,all models,3.1496827131702294,0.5324675324675324
S1,all models,3.161514148699206,0.5324675324675324
S1,all models,3.1733900277100897,0.5324675324675324
S1,all models,3.185310517149916,0.5324675324675324
S1,all models,3.197275784592838,0.5324675324675324
S1,all models,3.2092859982424833,0.5324675324675324
S1,all models,3.2213413269343167,0.5324675324675324
S1,all models,3.233441940138016,0.5324675324675324
S1,all models,3.2455880079598525,0.5324675324675324
S1,all models,3.257779701145083,0.5324675324675324
S1,all models,3.270017191080351,0.5324675324675324
S1,all models,3.2823006497960927,0.5324675324675324
S1,all models,3.2946302499689604,0.5324675324675324
S1,all models,3.307006164924245,0.5324675324675324
S1,all models,3.319428568638315,0.5324675324675324
S1,all models,3.331897635741064,0.5324675324675324
S1,all models,3.3444135415183607,0.5324675324675324
S1,all models,3.356976461914518,0.5324675324675324
S1,all models,3.369586573534763,0.5324675324675324
S1,all models,3.382244053647722,0.5324675324675324
S1,all models,3.394949080187909,0.5324675324675324
S1,all models,3.4,0.5324675324675324
S1,all models,3.4077018317582324,0.5324675324675324
S1,all models,3.4205024876325005,0.5324675324675324
S1,all models,3.4333512277579445,0.5324675324675324
S1,all models,3.446248232757748,0.5324675324675324
S1,all models,3.459193683933585,0.5324675324675324
S1,all models,3.4721877632681695,0.5324675324675324
S1,all models,3.4852306534278132,0.5324675324675324
S1,all models,3.4983225377649947,0.5324675324675324
S1,all models,3.5114636003209343,0.5324675324675324
S1,all models,3.5246540258281844,0.5194805194805194
S1,all models,3.5378939997132237,0.5194805194805194
S1,all models,3.5511837080990665,0.5194805194805194
S1,all models,3.564523337807875,0.5194805194805194
S1,all models,3.5779130763635907,0.5194805194805194
S1,all models,3.5913531119945667,0.5194805194805194
